config,trail_low,trail_high,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,exits_low_vol,exits_high_vol,avg_trail_width_low,avg_trail_width_high,d_sharpe,d_cagr,d_mdd
baseline,3.0,3.0,1.2905,57.13,51.32,218,41.3,36.1,43.0,0,0,,,0.0,0.0,0.0
lo=2.0/hi=3.0,2.0,3.0,1.3162,57.55,47.04,274,38.3,27.3,40.9,175,99,1075.98,1824.98,0.025700000000000056,0.4199999999999946,-4.280000000000001
lo=2.0/hi=3.5,2.0,3.5,1.1422,47.13,56.33,265,37.7,28.5,41.3,177,88,1079.22,2140.03,-0.14829999999999988,-10.0,5.009999999999998
lo=2.0/hi=4.0,2.0,4.0,1.1908,50.87,54.01,250,36.8,31.0,42.3,181,69,1079.53,2452.34,-0.0996999999999999,-6.260000000000005,2.6899999999999977
lo=2.0/hi=4.5,2.0,4.5,1.1495,48.72,54.74,242,38.0,32.2,42.5,183,59,1079.26,2793.19,-0.14100000000000001,-8.410000000000004,3.4200000000000017
lo=2.5/hi=3.0,2.5,3.0,1.2537,54.52,53.22,243,39.5,31.7,42.1,139,104,1338.91,1822.1,-0.036799999999999944,-2.6099999999999994,1.8999999999999986
lo=2.5/hi=3.5,2.5,3.5,1.0814,44.19,61.43,233,38.2,33.5,42.7,141,92,1340.63,2134.58,-0.20910000000000006,-12.940000000000005,10.11
lo=2.5/hi=4.0,2.5,4.0,1.1618,49.83,56.23,217,38.2,36.9,43.8,146,71,1338.53,2448.29,-0.12870000000000004,-7.300000000000004,4.909999999999997
lo=2.5/hi=4.5,2.5,4.5,1.1271,48.02,56.92,211,38.9,38.1,44.0,151,60,1340.1,2780.54,-0.1634,-9.11,5.600000000000001
lo=3.0/hi=3.0,3.0,3.0,1.2905,57.13,51.32,218,41.3,36.1,43.0,108,110,1612.62,1819.74,0.0,0.0,0.0
lo=3.0/hi=3.5,3.0,3.5,1.1152,46.42,59.85,208,39.9,38.3,43.5,111,97,1614.06,2135.58,-0.1753,-10.71,8.530000000000001
lo=3.0/hi=4.0,3.0,4.0,1.1695,50.52,54.45,193,39.9,42.2,44.6,116,77,1607.26,2455.38,-0.121,-6.609999999999999,3.1300000000000026
lo=3.0/hi=4.5,3.0,4.5,1.1453,49.44,55.17,186,41.4,44.2,44.9,122,64,1607.93,2792.05,-0.1452,-7.690000000000005,3.8500000000000014
