config,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.3322,60.04,51.32,219,41.6,10.88,-3.62,43.0,0.0,0.0,0.0
exit_th=-0.05,1.2473,54.56,58.64,209,43.5,10.39,-3.9,42.3,-0.08489999999999998,-5.479999999999997,7.32
exit_th=-0.02,1.2726,55.52,52.7,223,40.8,10.28,-3.39,41.0,-0.0596000000000001,-4.519999999999996,1.3800000000000026
exit_th=0.0,1.1643,48.45,56.4,264,37.1,9.4,-2.85,39.6,-0.16790000000000016,-11.589999999999996,5.079999999999998
exit_th=0.02,1.0006,38.33,53.1,368,29.9,8.22,-2.01,37.9,-0.3316000000000001,-21.71,1.7800000000000011
exit_th=0.05,0.7387,24.12,62.07,547,25.4,6.33,-1.45,35.5,-0.5935,-35.92,10.75
