threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.31,52.72,41.01,197,40.6,9.99,-3.26,43.5,0.0,0.0,0.0
0.3,0.8771,19.27,35.05,95,37.9,9.75,-3.13,20.8,-0.43290000000000006,-33.45,-5.960000000000001
0.4,0.9595,22.77,33.07,108,37.0,9.72,-2.92,23.7,-0.35050000000000003,-29.95,-7.939999999999998
0.5,0.9253,23.14,33.07,124,37.9,8.97,-2.95,26.7,-0.38470000000000004,-29.58,-7.939999999999998
0.6,1.1001,30.71,33.07,134,38.1,9.65,-2.85,29.4,-0.20989999999999998,-22.009999999999998,-7.939999999999998
0.7,1.3481,43.25,33.07,147,38.8,10.57,-2.86,33.1,0.03810000000000002,-9.469999999999999,-7.939999999999998
