config,lookback,threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,exit_trail,exit_trend,exit_rangepos,d_sharpe,d_cagr,d_mdd
baseline,,,1.2965,57.77,51.32,221,41.2,36.0,10.88,-3.65,43.0,200,21,0,0.0,0.0,0.0
L=42_thr=0.15,42.0,0.15,1.291,56.51,49.72,258,36.4,30.0,10.39,-2.91,41.7,179,13,66,-0.00550000000000006,-1.2600000000000051,-1.6000000000000014
L=42_thr=0.2,42.0,0.2,1.277,55.14,47.26,289,33.2,26.4,10.08,-2.48,41.1,170,13,106,-0.019500000000000073,-2.6300000000000026,-4.060000000000002
L=42_thr=0.25,42.0,0.25,1.1902,49.57,49.94,331,31.1,22.6,9.45,-2.26,40.4,164,11,156,-0.10630000000000006,-8.200000000000003,-1.3800000000000026
L=42_thr=0.3,42.0,0.3,1.0998,43.57,56.09,377,29.2,19.5,8.75,-2.02,39.7,157,9,211,-0.19669999999999987,-14.200000000000003,4.770000000000003
L=63_thr=0.15,63.0,0.15,1.3274,59.32,48.05,235,38.3,33.3,10.94,-3.2,42.2,189,17,29,0.030899999999999928,1.5499999999999972,-3.270000000000003
L=63_thr=0.2,63.0,0.2,1.3183,58.41,47.76,251,36.3,30.9,10.85,-2.96,41.8,181,14,56,0.02180000000000004,0.6399999999999935,-3.5600000000000023
L=63_thr=0.25,63.0,0.25,1.2716,55.2,49.09,280,33.9,27.4,10.34,-2.64,41.3,179,11,90,-0.024899999999999922,-2.5700000000000003,-2.229999999999997
L=63_thr=0.3,63.0,0.3,1.1454,46.78,56.62,324,30.6,23.3,9.85,-2.35,40.7,176,9,139,-0.1511,-10.990000000000002,5.299999999999997
L=84_thr=0.15,84.0,0.15,1.3129,58.55,47.77,222,40.5,35.6,11.0,-3.57,42.6,195,18,9,0.01639999999999997,0.779999999999994,-3.549999999999997
L=84_thr=0.2,84.0,0.2,1.339,60.14,44.24,227,40.5,34.7,10.83,-3.47,42.5,193,17,17,0.04249999999999998,2.3699999999999974,-7.079999999999998
L=84_thr=0.25,84.0,0.25,1.3427,60.21,44.95,240,38.8,32.6,10.73,-3.2,42.2,191,14,35,0.04620000000000002,2.4399999999999977,-6.369999999999997
L=84_thr=0.3,84.0,0.3,1.2559,54.16,48.65,267,34.8,29.0,10.69,-2.87,41.8,186,13,68,-0.04059999999999997,-3.6100000000000065,-2.6700000000000017
L=126_thr=0.15,126.0,0.15,1.2938,57.51,51.32,221,41.2,35.9,10.88,-3.66,42.8,199,19,3,-0.0026999999999999247,-0.2600000000000051,0.0
L=126_thr=0.2,126.0,0.2,1.2954,57.61,51.32,221,41.2,35.9,10.88,-3.66,42.8,199,19,3,-0.0010999999999998789,-0.1600000000000037,0.0
L=126_thr=0.25,126.0,0.25,1.2771,56.32,54.78,228,39.9,34.7,10.84,-3.5,42.6,197,18,13,-0.019400000000000084,-1.4500000000000028,3.460000000000001
L=126_thr=0.3,126.0,0.3,1.2336,53.45,54.74,236,38.6,33.3,10.81,-3.4,42.4,196,15,25,-0.06289999999999996,-4.32,3.4200000000000017
L=168_thr=0.15,168.0,0.15,1.2842,56.91,51.32,221,41.2,36.0,10.88,-3.69,42.9,200,20,1,-0.012299999999999978,-0.8600000000000065,0.0
L=168_thr=0.2,168.0,0.2,1.2847,56.94,51.32,221,41.2,36.0,10.88,-3.69,42.9,200,19,2,-0.011800000000000033,-0.8300000000000054,0.0
L=168_thr=0.25,168.0,0.25,1.2766,56.41,52.69,226,40.3,35.1,10.88,-3.57,42.8,200,18,8,-0.01990000000000003,-1.3600000000000065,1.3699999999999974
L=168_thr=0.3,168.0,0.3,1.2796,56.58,53.09,228,39.9,34.7,10.88,-3.51,42.6,199,15,14,-0.016899999999999915,-1.1900000000000048,1.7700000000000031
