threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.2965,57.77,51.32,221,41.2,36.0,10.88,-3.65,43.0,0.0,0.0,0.0
-0.2,1.248,53.69,47.39,294,36.1,26.6,9.39,-2.72,42.2,-0.04849999999999999,-4.080000000000005,-3.9299999999999997
-0.1,1.1777,48.72,53.14,342,33.9,22.2,8.59,-2.39,41.0,-0.11880000000000002,-9.050000000000004,1.8200000000000003
0.0,1.1199,44.81,54.86,410,31.2,17.9,7.61,-1.94,39.7,-0.1766000000000001,-12.96,3.539999999999999
0.1,1.0519,40.62,53.23,477,31.2,14.9,6.63,-1.79,38.3,-0.24459999999999993,-17.150000000000006,1.9099999999999966
0.2,0.8679,30.46,55.84,570,29.1,12.1,5.97,-1.63,37.2,-0.4286,-27.310000000000002,4.520000000000003
