window,train_period,test_period,train_bars,test_bars,train_baseline_sharpe,train_best_sharpe,selected_trail_min,selected_decay_start,selected_decay_end,test_baseline_sharpe,test_baseline_cagr,test_baseline_mdd,test_baseline_trades,test_selected_sharpe,test_selected_cagr,test_selected_mdd,test_selected_trades,test_selected_avg_trail,test_selected_avg_age,d_sharpe_selected,d_mdd_selected,selected_wins_sharpe,test_fixed_sharpe,test_fixed_cagr,test_fixed_mdd,test_fixed_trades,test_fixed_avg_trail,test_fixed_avg_age,d_sharpe_fixed,d_mdd_fixed,fixed_wins_sharpe
1,2019-01-01 → 2021-06-30,2021-07-01 → 2023-06-30,3282,4380,2.3876,2.6604,2.0,60,120,0.4722,10.82,41.01,49,0.6207,16.13,36.59,56,2.533,95.4,0.1485,-4.42,1,0.8177,23.86,31.01,56,2.416,98.2,0.3455,-10.0,1
2,2019-01-01 → 2022-06-30,2022-07-01 → 2024-06-30,5472,4386,2.0321,2.3594,1.5,60,120,0.6441,17.02,35.38,62,0.306,4.77,32.28,88,2.091,149.7,-0.3381,-3.1,0,0.5811,14.44,30.34,78,2.246,153.3,-0.063,-5.04,0
3,2019-01-01 → 2023-06-30,2023-07-01 → 2025-06-30,7662,4386,1.4577,1.7003,1.5,60,120,1.6301,60.3,25.61,59,1.1543,36.66,22.69,92,1.965,178.8,-0.4758,-2.92,0,1.4263,48.58,21.12,82,2.093,185.3,-0.2038,-4.49,0
4,2019-01-01 → 2024-06-30,2024-07-01 → 2026-02-28,9858,3603,1.5053,1.6666,2.0,60,120,0.9651,24.9,15.63,41,1.0062,25.63,20.3,50,2.462,130.9,0.0411,4.67,1,0.8399,20.2,21.44,56,2.266,137.8,-0.1252,5.81,0
