window,train_period,test_period,train_bars,test_bars,train_baseline_sharpe,train_best_sharpe,selected_lb,selected_accel,test_baseline_sharpe,test_baseline_cagr,test_baseline_mdd,test_baseline_trades,test_baseline_exposure,test_selected_sharpe,test_selected_cagr,test_selected_mdd,test_selected_trades,test_selected_blocked,test_selected_blocked_wr,test_selected_exposure,d_sharpe_selected,d_mdd_selected,d_exposure_selected,selected_wins_sharpe,test_fixed_sharpe,test_fixed_cagr,test_fixed_mdd,test_fixed_trades,test_fixed_blocked,test_fixed_blocked_wr,test_fixed_exposure,d_sharpe_fixed,d_mdd_fixed,d_exposure_fixed,fixed_wins_sharpe
1,2019-01-01 → 2021-06-30,2021-07-01 → 2023-06-30,5472,4380,2.2102,2.5213,12,0.0,0.4788,11.14,41.01,49,35.4,0.2101,1.8,41.01,37,237,18.1,26.6,-0.2687,0.0,-8.8,0,0.2101,1.8,41.01,37,237,18.1,26.6,-0.2687,0.0,-8.8,0
2,2019-01-01 → 2022-06-30,2022-07-01 → 2024-06-30,7662,4386,1.9966,2.0891,12,0.0,0.6722,18.1,32.3,61,48.3,0.7368,18.53,35.87,42,288,26.0,35.7,0.0646,3.57,-12.6,1,0.7368,18.53,35.87,42,288,26.0,35.7,0.0646,3.57,-12.6,1
3,2019-01-01 → 2023-06-30,2023-07-01 → 2025-06-30,9852,4386,1.5559,1.661,12,0.0,1.725,65.49,25.61,57,50.8,1.4461,44.17,24.46,42,271,46.9,39.0,-0.2789,-1.15,-11.8,0,1.4461,44.17,24.46,42,271,46.9,39.0,-0.2789,-1.15,-11.8,0
4,2019-01-01 → 2024-06-30,2024-07-01 → 2026-02-28,12048,3603,1.5788,1.6928,12,0.0,0.9068,22.99,15.63,41,41.2,0.4403,7.85,24.46,35,168,53.6,32.7,-0.4665,8.83,-8.5,0,0.4403,7.85,24.46,35,168,53.6,32.7,-0.4665,8.83,-8.5,0
