config,rp_threshold,tq_threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,exit_trail,exit_trend,exit_and_gate,exit_rangepos,exit_trendq,and_selectivity,d_sharpe,d_cagr,d_mdd
baseline,,,1.2965,57.77,51.32,221,41.2,36.0,10.88,-3.65,43.0,200,21,0,0,0,,0.0,0.0,0.0
rp_only=0.25,0.25,,1.3427,60.21,44.95,240,38.8,32.6,10.73,-3.2,42.2,191,14,0,35,0,91.4,0.04620000000000002,2.4399999999999977,-6.369999999999997
tq_only=-0.2,,-0.2,1.2209,51.8,50.81,297,35.4,25.8,9.44,-2.7,41.4,179,14,0,0,104,78.8,-0.07559999999999989,-5.970000000000006,-0.509999999999998
AND_rp=0.2_tq=-0.3,0.2,-0.3,1.2816,56.69,53.46,222,41.0,35.7,10.84,-3.64,42.8,198,18,6,0,0,100.0,-0.014899999999999913,-1.0800000000000054,2.1400000000000006
AND_rp=0.2_tq=-0.1,0.2,-0.1,1.3534,61.24,44.24,223,41.7,35.5,10.72,-3.56,42.7,194,17,12,0,0,83.3,0.05689999999999995,3.469999999999999,-7.079999999999998
AND_rp=0.2_tq=0.1,0.2,0.1,1.3411,60.29,44.24,226,40.3,34.9,10.94,-3.46,42.5,193,17,16,0,0,93.8,0.04459999999999997,2.519999999999996,-7.079999999999998
AND_rp=0.2_tq=0.3,0.2,0.3,1.339,60.14,44.24,227,40.5,34.7,10.83,-3.47,42.5,193,17,17,0,0,88.2,0.04249999999999998,2.3699999999999974,-7.079999999999998
AND_rp=0.25_tq=-0.3,0.25,-0.3,1.2833,56.75,53.46,222,41.0,35.7,10.84,-3.64,42.7,197,17,8,0,0,100.0,-0.013199999999999878,-1.0200000000000031,2.1400000000000006
AND_rp=0.25_tq=-0.1,0.25,-0.1,1.3276,59.44,45.89,231,40.3,34.1,10.72,-3.42,42.5,193,15,23,0,0,91.3,0.031099999999999905,1.6699999999999946,-5.43
AND_rp=0.25_tq=0.1,0.25,0.1,1.3371,59.85,44.35,237,38.8,33.1,10.84,-3.25,42.3,192,15,30,0,0,93.3,0.04059999999999997,2.0799999999999983,-6.969999999999999
AND_rp=0.25_tq=0.3,0.25,0.3,1.3423,60.18,44.95,240,38.8,32.6,10.73,-3.2,42.2,191,14,35,0,0,91.4,0.04580000000000006,2.4099999999999966,-6.369999999999997
AND_rp=0.3_tq=-0.3,0.3,-0.3,1.2626,54.97,54.57,227,40.5,34.8,10.7,-3.59,42.6,196,16,15,0,0,86.7,-0.03390000000000004,-2.8000000000000043,3.25
AND_rp=0.3_tq=-0.1,0.3,-0.1,1.2902,56.66,48.21,241,39.0,32.5,10.58,-3.31,42.3,191,14,36,0,0,88.9,-0.006299999999999972,-1.1100000000000065,-3.1099999999999994
AND_rp=0.3_tq=0.1,0.3,0.1,1.2667,54.92,46.83,257,36.2,30.2,10.71,-3.03,41.9,188,14,55,0,0,92.7,-0.02980000000000005,-2.8500000000000014,-4.490000000000002
AND_rp=0.3_tq=0.3,0.3,0.3,1.2555,54.21,48.65,264,35.2,29.4,10.7,-2.93,41.8,187,13,64,0,0,93.8,-0.040999999999999925,-3.5600000000000023,-2.6700000000000017
AND_rp=0.35_tq=-0.3,0.35,-0.3,1.2698,55.43,54.57,229,40.2,34.4,10.7,-3.52,42.5,194,16,19,0,0,89.5,-0.026699999999999946,-2.3400000000000034,3.25
AND_rp=0.35_tq=-0.1,0.35,-0.1,1.2801,55.95,48.21,250,37.6,31.2,10.6,-3.15,42.1,188,13,49,0,0,91.8,-0.01639999999999997,-1.8200000000000003,-3.1099999999999994
AND_rp=0.35_tq=0.1,0.35,0.1,1.2751,55.26,46.83,269,34.6,28.7,10.72,-2.82,41.6,185,13,71,0,0,93.0,-0.021400000000000086,-2.510000000000005,-4.490000000000002
AND_rp=0.35_tq=0.3,0.35,0.3,1.2703,54.91,48.36,279,33.7,27.6,10.61,-2.7,41.5,183,12,84,0,0,92.9,-0.0262,-2.8600000000000065,-2.960000000000001
