N,margin,sharpe,cagr_pct,mdd_pct,trades,win_rate,exposure_pct,avg_bars_held,mode1_entries,mode2_entries,avg_m2_entry_vs_ema_pct,d_sharpe,d_cagr,d_mdd
baseline,baseline,1.2965,57.77,51.32,221,41.2,43.0,36.0,221,0,,0.0,0.0,0.0
12,0.0,1.232,45.36,47.38,155,42.6,31.2,37.3,46,109,-1.692,-0.0645,-12.41,-3.94
12,0.005,1.2018,44.66,47.65,166,41.0,33.4,37.3,46,120,-1.364,-0.0947,-13.11,-3.67
12,0.01,1.2314,47.68,47.26,174,42.0,35.1,37.4,46,128,-1.124,-0.0651,-10.09,-4.06
24,0.0,1.2552,46.3,46.21,151,43.0,30.5,37.4,46,105,-1.696,-0.0413,-11.47,-5.11
24,0.005,1.2728,48.16,44.48,160,42.5,32.8,38.0,46,114,-1.385,-0.0237,-9.61,-6.84
24,0.01,1.2996,51.08,43.55,167,43.1,34.4,38.1,46,121,-1.164,0.0031,-6.69,-7.77
36,0.0,1.2533,45.97,43.77,148,43.2,29.8,37.3,46,102,-1.716,-0.0432,-11.8,-7.55
36,0.005,1.2084,44.37,45.85,156,42.9,31.7,37.7,46,110,-1.411,-0.0881,-13.4,-5.47
36,0.01,1.2356,47.18,46.82,162,43.8,33.3,38.1,46,116,-1.192,-0.0609,-10.59,-4.5
48,0.0,1.2067,43.09,43.46,145,43.4,28.8,36.9,46,99,-1.747,-0.0898,-14.68,-7.86
48,0.005,1.1326,40.1,45.55,153,43.1,30.5,37.0,46,107,-1.414,-0.1639,-17.67,-5.77
48,0.01,1.2229,46.31,46.53,159,44.7,32.2,37.6,46,113,-1.209,-0.0736,-11.46,-4.79
