config,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,blocked_entries,agreement_pct,d_sharpe,d_cagr,d_mdd
baseline,1.2952,57.03,51.32,214,41.1,36.2,42.7,0,,0.0,0.0,0.0
A1,1.2824,52.94,37.87,213,39.9,33.2,39.0,337,30.6,-0.012799999999999923,-4.090000000000003,-13.450000000000003
A2,1.2727,52.35,38.97,214,39.7,32.9,38.8,337,30.5,-0.022499999999999964,-4.68,-12.350000000000001
B1,1.2306,46.75,38.39,175,41.1,34.2,33.0,991,14.8,-0.06459999999999999,-10.280000000000001,-12.93
B2,1.2392,47.19,38.39,175,41.1,34.2,33.0,991,14.8,-0.05599999999999983,-9.840000000000003,-12.93
C1,1.2909,51.41,44.92,169,40.2,37.2,34.7,779,20.2,-0.0042999999999999705,-5.6200000000000045,-6.399999999999999
C2,1.2992,51.86,44.92,169,40.2,37.2,34.7,779,20.2,0.0040000000000000036,-5.170000000000002,-6.399999999999999
D1,1.2958,53.44,52.54,173,41.6,37.9,36.1,663,32.1,0.000600000000000156,-3.5900000000000034,1.2199999999999989
D2,1.3041,53.92,52.49,173,41.6,37.8,36.1,663,32.1,0.00890000000000013,-3.1099999999999994,1.1700000000000017
E1,1.0758,37.26,40.44,164,37.8,33.0,29.8,1424,11.4,-0.21939999999999982,-19.770000000000003,-10.880000000000003
E2,1.0758,37.26,40.44,164,37.8,33.0,29.8,1424,11.4,-0.21939999999999982,-19.770000000000003,-10.880000000000003
