config,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,d_sharpe,d_cagr,d_mdd
E5_baseline,1.3322,60.04,51.32,219,41.6,36.3,43.0,0.0,0.0,0.0
A_all_agree_exit,0.9219,41.11,67.75,143,21.7,82.6,63.8,-0.4103,-18.93,16.43
A_notrail,0.9243,41.53,68.39,133,22.6,89.7,64.5,-0.40790000000000004,-18.509999999999998,17.07
B_e5_exit,-0.3107,-23.61,97.16,1167,25.9,8.7,55.2,-1.6429,-83.65,45.839999999999996
