config,variant,threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,exit_trail,exit_trend,exit_volume,d_sharpe,d_cagr,d_mdd
baseline,baseline,,1.3098,52.7,41.01,197,40.6,36.4,9.99,-3.26,43.5,179,18,0,0.0,0.0,0.0
A:vpr_z thr=-2.0,A:vpr_z,-2.0,1.2452,48.87,41.01,211,42.2,33.9,9.06,-3.39,43.4,177,17,17,-0.06459999999999999,-3.8300000000000054,0.0
A:vpr_z thr=-1.5,A:vpr_z,-1.5,0.9799,33.52,46.31,352,43.8,18.7,5.55,-2.87,39.9,150,15,187,-0.3299000000000001,-19.18,5.300000000000004
A:vpr_z thr=-1.0,A:vpr_z,-1.0,0.0854,-2.2,76.58,787,37.9,6.5,2.83,-1.66,31.0,75,11,701,-1.2244000000000002,-54.900000000000006,35.57
A:vpr_z thr=-0.5,A:vpr_z,-0.5,-1.3063,-33.31,96.35,1277,35.8,3.0,1.75,-1.31,23.6,30,6,1241,-2.6161000000000003,-86.01,55.339999999999996
A:vpr_z thr=0.0,A:vpr_z,0.0,-2.7214,-52.15,99.62,1644,31.6,1.9,1.42,-1.13,19.0,16,4,1624,-4.0312,-104.85,58.61000000000001
B:ts168 thr=-0.15,B:ts168,-0.15,-0.2277,-12.17,89.8,774,40.7,7.2,2.49,-1.83,34.0,89,11,674,-1.5375,-64.87,48.79
B:ts168 thr=-0.1,B:ts168,-0.1,-0.6348,-22.24,92.19,947,39.1,5.4,2.14,-1.64,31.0,63,10,874,-1.9446,-74.94,51.18
B:ts168 thr=-0.05,B:ts168,-0.05,-1.1771,-32.81,95.27,1139,37.0,4.0,1.84,-1.45,27.8,44,9,1086,-2.4869000000000003,-85.51,54.26
B:ts168 thr=0.0,B:ts168,0.0,-1.6171,-39.74,97.84,1320,35.2,3.1,1.63,-1.3,25.0,29,10,1281,-2.9269,-92.44,56.830000000000005
B:ts168 thr=0.05,B:ts168,0.05,-2.3078,-48.75,99.36,1517,32.1,2.4,1.53,-1.18,22.1,20,8,1489,-3.6176,-101.45,58.35
