config,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline_vdo,1.3322,60.04,51.32,219,41.6,10.88,-3.62,43.0,0.0,0.0,0.0
tsurp_th=-0.05,1.101,47.17,64.82,257,40.1,9.85,-3.61,47.3,-0.23120000000000007,-12.869999999999997,13.499999999999993
tsurp_th=0.0,1.0593,43.98,59.93,248,39.9,9.98,-3.71,46.1,-0.27290000000000014,-16.060000000000002,8.61
tsurp_th=0.05,1.0822,44.31,55.65,236,39.4,10.37,-3.71,44.5,-0.25,-15.729999999999997,4.329999999999998
tsurp_th=0.1,1.0978,44.08,52.29,222,40.1,10.38,-3.74,43.0,-0.23439999999999994,-15.96,0.9699999999999989
tsurp_th=0.15,1.1119,43.75,52.49,206,38.3,11.23,-3.66,40.2,-0.22029999999999994,-16.29,1.1700000000000017
