config,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
E5_baseline,1.3322,60.04,51.32,219,41.6,10.88,-3.62,43.0,0.0,0.0,0.0
Gen4_standalone,0.5959,17.65,70.32,400,30.0,7.81,-2.42,44.3,-0.7363000000000001,-42.39,18.999999999999993
Gen1_standalone,-0.1708,-17.56,94.42,1056,26.1,4.42,-1.58,51.9,-1.5030000000000001,-77.6,43.1
vote>=2,0.9021,34.76,64.71,318,32.7,9.65,-2.88,45.7,-0.43010000000000004,-25.28,13.389999999999993
vote>=3,1.1725,45.43,55.34,168,42.3,11.36,-3.99,35.8,-0.15969999999999995,-14.61,4.020000000000003
