window,train_period,test_period,train_bars,test_bars,train_baseline_sharpe,train_best_sharpe,selected_rp,selected_tq,test_baseline_sharpe,test_baseline_cagr,test_baseline_mdd,test_baseline_trades,test_selected_sharpe,test_selected_cagr,test_selected_mdd,test_selected_trades,test_selected_and_exits,test_selected_selectivity,d_sharpe_selected,d_mdd_selected,selected_wins_sharpe,test_fixed_sharpe,test_fixed_cagr,test_fixed_mdd,test_fixed_trades,test_fixed_and_exits,test_fixed_selectivity,d_sharpe_fixed,d_mdd_fixed,fixed_wins_sharpe
1,2019-01-01 → 2021-06-30,2021-07-01 → 2023-06-30,5472,4380,2.1641,2.2069,0.25,0.3,0.4722,10.82,41.01,49,0.5366,13.19,37.91,51,4,100.0,0.0644,-3.1,1,0.5624,14.22,37.34,49,2,100.0,0.0902,-3.67,1
2,2019-01-01 → 2022-06-30,2022-07-01 → 2024-06-30,7662,4386,1.9645,1.9955,0.2,-0.1,0.6441,17.02,35.38,62,0.7313,20.32,31.35,62,4,100.0,0.0872,-4.03,1,0.7313,20.32,31.35,62,4,100.0,0.0872,-4.03,1
3,2019-01-01 → 2023-06-30,2023-07-01 → 2025-06-30,9852,4386,1.5342,1.5925,0.2,-0.1,1.6301,60.3,25.61,59,1.5326,54.94,25.61,60,5,100.0,-0.0975,0.0,0,1.5326,54.94,25.61,60,5,100.0,-0.0975,0.0,0
4,2019-01-01 → 2024-06-30,2024-07-01 → 2026-02-28,12048,3603,1.5602,1.6079,0.2,-0.1,0.9651,24.9,15.63,41,0.8526,20.97,19.3,42,4,100.0,-0.1125,3.67,0,0.8526,20.97,19.3,42,4,100.0,-0.1125,3.67,0
