threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.3322,60.04,51.32,219,41.6,10.88,-3.62,43.0,0.0,0.0,0.0
0.2,1.262,54.64,53.01,209,42.1,10.86,-3.82,41.8,-0.07020000000000004,-5.399999999999999,1.6899999999999977
0.3,1.2729,54.6,52.46,205,42.4,10.88,-3.85,41.0,-0.05930000000000013,-5.439999999999998,1.1400000000000006
0.4,1.2994,55.95,50.11,198,42.9,11.01,-3.88,40.2,-0.03279999999999994,-4.089999999999996,-1.2100000000000009
0.5,1.2152,48.61,44.31,194,42.8,10.63,-3.88,38.9,-0.11699999999999999,-11.43,-7.009999999999998
0.6,1.2223,48.11,52.01,187,42.2,10.71,-3.75,37.4,-0.10990000000000011,-11.93,0.6899999999999977
