window,train_period,test_period,train_bars,test_bars,test_baseline_sharpe,test_baseline_cagr,test_baseline_mdd,test_baseline_trades,a_selected_vel,a_train_best_sharpe,a_test_sel_sharpe,a_test_sel_mdd,a_test_sel_trades,a_test_sel_vel_exits,a_test_sel_selectivity,a_d_sharpe_sel,a_d_mdd_sel,a_sel_wins_sharpe,a_test_fix_sharpe,a_test_fix_mdd,a_test_fix_vel_exits,a_d_sharpe_fix,a_d_mdd_fix,a_fix_wins_sharpe,c_selected_vel,c_selected_tq,c_train_best_sharpe,c_test_sel_sharpe,c_test_sel_mdd,c_test_sel_trades,c_test_sel_vel_exits,c_test_sel_selectivity,c_d_sharpe_sel,c_d_mdd_sel,c_sel_wins_sharpe,c_test_fix_sharpe,c_test_fix_mdd,c_test_fix_vel_exits,c_d_sharpe_fix,c_d_mdd_fix,c_fix_wins_sharpe
1,2019-01-01 → 2021-06-30,2021-07-01 → 2023-06-30,5472,4380,0.4722,10.82,41.01,49,-0.3,2.1142,0.5153,37.85,50,6,66.7,0.0431,-3.16,1,0.5153,37.85,6,0.0431,-3.16,1,-0.1,0.2,2.3599,0.5346,39.08,65,26,76.9,0.0624,-1.93,1,0.5694,37.44,6,0.0972,-3.57,1
2,2019-01-01 → 2022-06-30,2022-07-01 → 2024-06-30,7662,4386,0.6441,17.02,35.38,62,-0.3,1.9354,0.4846,32.9,75,21,76.2,-0.1595,-2.48,0,0.4846,32.9,21,-0.1595,-2.48,0,-0.1,0.2,2.0863,0.1807,32.5,100,55,80.0,-0.4634,-2.88,0,0.5691,31.46,17,-0.075,-3.92,0
3,2019-01-01 → 2023-06-30,2023-07-01 → 2025-06-30,9852,4386,1.6301,60.3,25.61,59,-0.3,1.5182,1.4208,27.81,72,19,84.2,-0.2093,2.2,0,1.4208,27.81,19,-0.2093,2.2,0,-0.1,0.2,1.6789,0.8506,27.61,103,64,79.7,-0.7795,2.0,0,1.4905,24.12,17,-0.1396,-1.49,0
4,2019-01-01 → 2024-06-30,2024-07-01 → 2026-02-28,12048,3603,0.9651,24.9,15.63,41,-0.3,1.4952,0.8878,17.31,43,5,100.0,-0.0773,1.68,0,0.8878,17.31,5,-0.0773,1.68,0,-0.3,-0.2,1.5701,0.8504,19.3,41,2,100.0,-0.1147,3.67,0,1.0896,15.97,7,0.1245,0.34,1
