config,tight_mult,rp_threshold,tq_threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,exposure_pct,exit_trail,exit_trend,exit_and_gate,exit_tight_trail,tighten_count,survived,triggered,survived_winners,survived_losers,triggered_winners,triggered_losers,d_sharpe,d_mdd
baseline,,0.2,-0.1,1.2965,57.77,51.32,221,41.2,43.0,200,21,0,0,0,0,0,0,0,0,0,0.0,0.0
exp22_binary_rp=0.2_tq=-0.1,,0.2,-0.1,1.3534,61.24,44.24,223,41.7,42.7,185,16,22,0,0,0,0,0,0,0,0,0.05689999999999995,-7.079999999999998
tight=1.0_rp=0.2_tq=-0.1,1.0,0.2,-0.1,1.3383,60.32,47.09,222,41.4,42.7,185,17,0,20,22,2,20,0,2,2,18,0.04180000000000006,-4.229999999999997
tight=1.5_rp=0.2_tq=-0.1,1.5,0.2,-0.1,1.3267,59.58,47.28,222,41.0,42.7,185,19,0,18,22,4,18,1,3,0,18,0.030200000000000005,-4.039999999999999
tight=2.0_rp=0.2_tq=-0.1,2.0,0.2,-0.1,1.327,59.6,47.28,221,41.2,42.7,185,18,0,18,21,3,18,1,2,0,18,0.03049999999999997,-4.039999999999999
tight=2.5_rp=0.2_tq=-0.1,2.5,0.2,-0.1,1.3148,58.83,47.77,221,41.2,42.8,185,20,0,16,21,5,16,1,4,0,16,0.018299999999999983,-3.549999999999997
tight=1.5_rp=0.2_tq=-0.2,1.5,0.2,-0.2,1.303,58.11,49.76,221,41.2,42.8,187,18,0,16,19,3,16,1,2,0,16,0.00649999999999995,-1.5600000000000023
tight=1.5_rp=0.2_tq=0.0,1.5,0.2,0.0,1.3492,60.99,47.28,222,41.0,42.7,181,19,0,22,26,4,22,1,3,1,21,0.05269999999999997,-4.039999999999999
tight=1.5_rp=0.2_tq=0.1,1.5,0.2,0.1,1.3455,60.74,47.28,223,40.8,42.7,181,19,0,23,27,4,23,1,3,1,22,0.04899999999999993,-4.039999999999999
