window,train_period,test_period,train_bars,test_bars,train_baseline_sharpe,train_comp_only_sharpe,train_best_combo_sharpe,selected_trail_min,selected_decay_start,selected_decay_end,test_baseline_sharpe,test_baseline_cagr,test_baseline_mdd,test_baseline_trades,test_comp_only_sharpe,test_comp_only_cagr,test_comp_only_mdd,test_comp_only_trades,test_comp_only_blocked,d_sharpe_comp_only,d_mdd_comp_only,comp_only_wins_sharpe,test_selected_sharpe,test_selected_cagr,test_selected_mdd,test_selected_trades,test_selected_blocked,test_selected_avg_trail,test_selected_avg_age,d_sharpe_selected,d_mdd_selected,selected_wins_sharpe,marginal_decay_selected,marginal_decay_selected_win,test_fixedA_sharpe,test_fixedA_cagr,test_fixedA_mdd,test_fixedA_trades,test_fixedA_blocked,test_fixedA_avg_trail,d_sharpe_fixedA,d_mdd_fixedA,fixedA_wins_sharpe,marginal_decay_fixedA,marginal_decay_fixedA_win,test_fixedB_sharpe,test_fixedB_cagr,test_fixedB_mdd,test_fixedB_trades,test_fixedB_blocked,test_fixedB_avg_trail,d_sharpe_fixedB,d_mdd_fixedB,fixedB_wins_sharpe,marginal_decay_fixedB,marginal_decay_fixedB_win
1,2019-01-01 -> 2021-06-30,2021-07-01 -> 2023-06-30,3282,4380,2.3876,2.3764,2.6369,1.5,60,180,0.4722,10.82,41.01,49,0.802,23.38,29.89,44,53,0.3298,-11.12,1,1.0278,31.8,30.11,51,62,2.422,96.0,0.5556,-10.9,1,0.2258,1,1.0278,31.8,30.11,51,62,2.422,0.5556,-10.9,1,0.2258,1,0.9796,30.07,32.57,49,59,2.627,0.5074,-8.44,1,0.1776,1
2,2019-01-01 -> 2022-06-30,2022-07-01 -> 2024-06-30,5472,4386,2.0321,2.0733,2.3568,1.5,60,180,0.6441,17.02,35.38,62,0.9715,29.25,28.75,55,61,0.3274,-6.63,1,0.7338,19.54,28.4,70,92,2.225,156.9,0.0897,-6.98,1,-0.2377,0,0.7338,19.54,28.4,70,92,2.225,0.0897,-6.98,1,-0.2377,0,0.9528,28.17,28.76,65,77,2.515,0.3087,-6.62,1,-0.0187,0
3,2019-01-01 -> 2023-06-30,2023-07-01 -> 2025-06-30,7662,4386,1.4577,1.6064,1.8349,1.5,60,180,1.6301,60.3,25.61,59,1.7806,64.66,21.07,53,50,0.1505,-4.54,1,1.4584,46.87,18.95,73,93,2.082,185.5,-0.1717,-6.66,0,-0.3222,0,1.4584,46.87,18.95,73,93,2.082,-0.1717,-6.66,0,-0.3222,0,1.7025,59.05,18.66,64,74,2.424,0.0724,-6.95,1,-0.0781,0
4,2019-01-01 -> 2024-06-30,2024-07-01 -> 2026-02-28,9858,3603,1.5053,1.6523,1.7407,2.0,60,180,0.9651,24.9,15.63,41,1.1468,29.33,15.82,37,33,0.1817,0.19,1,1.0225,24.57,16.65,44,50,2.547,130.6,0.0574,1.02,1,-0.1243,0,1.0289,24.33,20.34,49,61,2.278,0.0638,4.71,1,-0.1179,0,1.0225,24.57,16.65,44,50,2.547,0.0574,1.02,1,-0.1243,0
