config,tight_mult,wide_mult,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,3.0,3.0,1.31,52.72,41.01,197,40.6,36.4,9.99,-3.26,43.5,0.0,0.0,0.0
t=2.0/w=3.0,2.0,3.0,1.3127,51.91,38.09,242,39.3,28.4,8.45,-2.71,41.7,0.0026999999999999247,-0.8100000000000023,-2.9199999999999946
t=2.0/w=3.5,2.0,3.5,1.1821,44.98,42.52,233,38.2,29.7,8.68,-2.82,42.1,-0.12790000000000012,-7.740000000000002,1.5100000000000051
t=2.0/w=4.0,2.0,4.0,1.1586,44.19,46.32,221,36.2,32.0,9.46,-2.81,43.0,-0.15139999999999998,-8.530000000000001,5.310000000000002
t=2.5/w=3.0,2.5,3.0,1.2988,51.86,38.27,214,40.7,33.0,9.05,-2.99,42.9,-0.011200000000000099,-0.8599999999999994,-2.739999999999995
t=2.5/w=3.5,2.5,3.5,1.1702,44.93,42.68,205,39.5,34.8,9.33,-3.13,43.3,-0.13980000000000015,-7.789999999999999,1.6700000000000017
t=2.5/w=4.0,2.5,4.0,1.1473,44.14,46.48,193,37.3,37.7,10.25,-3.1,44.2,-0.16270000000000007,-8.579999999999998,5.469999999999999
