threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,blocked,blocked_win_rate,median_entry_vol_ratio,d_sharpe,d_cagr,d_mdd
baseline,1.2965,57.77,51.32,221,41.2,36.0,43.0,0,,0.471,0.0,0.0,0.0
0.5,1.3533,57.49,56.33,194,43.3,38.0,39.8,308,40.9,0.2912,0.05679999999999996,-0.28000000000000114,5.009999999999998
0.6,1.4866,68.42,53.59,197,44.2,38.3,40.7,205,34.6,0.3298,0.19009999999999994,10.649999999999999,2.270000000000003
0.7,1.4764,68.18,51.74,202,43.6,37.8,41.2,157,33.8,0.353,0.17989999999999995,10.410000000000004,0.4200000000000017
0.8,1.4369,66.04,51.52,207,43.5,37.4,41.7,113,30.1,0.3729,0.14040000000000008,8.270000000000003,0.20000000000000284
0.9,1.4169,64.84,51.52,209,43.5,37.2,41.9,84,27.4,0.4048,0.12040000000000006,7.07,0.20000000000000284
1.0,1.3308,59.38,53.58,214,43.0,36.6,42.2,61,27.9,0.4363,0.0343,1.6099999999999994,2.259999999999998
