threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.2965,57.77,51.32,221,41.2,10.88,-3.65,43.0,0.0,0.0,0.0
0.0,1.1782,48.89,52.49,212,40.6,10.82,-3.78,41.3,-0.11830000000000007,-8.880000000000003,1.1700000000000017
0.2,1.2873,54.81,49.55,197,43.7,10.55,-3.82,39.2,-0.009199999999999875,-2.960000000000001,-1.7700000000000031
0.4,1.1753,46.71,53.35,179,45.3,10.32,-4.15,36.5,-0.12119999999999997,-11.060000000000002,2.030000000000001
0.6,1.1569,43.93,44.16,162,45.7,10.58,-4.31,33.5,-0.13959999999999995,-13.840000000000003,-7.160000000000004
0.8,1.2676,48.01,39.16,146,47.9,10.43,-4.12,30.2,-0.028899999999999926,-9.760000000000005,-12.160000000000004
