config,threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,avg_win,avg_loss,exposure_pct,exit_trail,exit_trend,exit_rangepos,d_sharpe,d_cagr,d_mdd
baseline,,1.2965,57.77,51.32,221,41.2,36.0,10.88,-3.65,43.0,200,21,0,0.0,0.0,0.0
thr=0.15,0.15,1.3129,58.55,47.77,222,40.5,35.6,11.0,-3.57,42.6,195,18,9,0.01639999999999997,0.779999999999994,-3.549999999999997
thr=0.2,0.2,1.339,60.14,44.24,227,40.5,34.7,10.83,-3.47,42.5,193,17,17,0.04249999999999998,2.3699999999999974,-7.079999999999998
thr=0.25,0.25,1.3427,60.21,44.95,240,38.8,32.6,10.73,-3.2,42.2,191,14,35,0.04620000000000002,2.4399999999999977,-6.369999999999997
thr=0.3,0.3,1.2559,54.16,48.65,267,34.8,29.0,10.69,-2.87,41.8,186,13,68,-0.04059999999999997,-3.6100000000000065,-2.6700000000000017
thr=0.35,0.35,1.2729,54.99,47.34,289,33.2,26.6,10.39,-2.59,41.4,182,12,95,-0.023600000000000065,-2.780000000000001,-3.979999999999997
