feature,gate,window,percentile,threshold,n_total,n_pass,n_blocked,baseline_wr,pass_wr,blocked_wr,selectivity,pass_sharpe,base_sharpe
trendq_84,gt,full,25,0.107463,221,165,56,41.2,42.4,37.5,3.68,0.837,1.0257
trendq_84,gt,full,33,0.244465,221,148,73,41.2,42.6,38.4,2.82,0.7262,1.0257
trendq_84,gt,full,50,0.464553,221,110,111,41.2,45.5,36.9,4.24,0.7019,1.0257
trendq_84,gt,full,67,0.739017,221,73,148,41.2,46.6,38.5,2.66,0.5338,1.0257
trendq_84,gt,full,75,0.945787,221,55,166,41.2,52.7,37.3,3.83,0.6149,1.0257
trendq_84,gt,W1,50,0.464553,49,29,20,34.7,37.9,30.0,4.69,0.3151,0.4298
trendq_84,gt,W2,50,0.464553,62,31,31,35.5,35.5,35.5,0.0,0.0683,0.5415
trendq_84,gt,W3,50,0.464553,59,22,37,44.1,50.0,40.5,3.53,0.4897,1.3015
trendq_84,gt,W4,50,0.464553,41,16,25,46.3,56.2,40.0,6.34,0.9251,0.9435
vol_per_range,gt,full,25,4.474742,221,165,56,41.2,40.6,42.9,-1.68,0.9468,1.0257
vol_per_range,gt,full,33,7.316598,221,148,73,41.2,40.5,42.5,-1.29,0.9531,1.0257
vol_per_range,gt,full,50,15.358726,221,110,111,41.2,38.2,44.1,-2.97,0.6998,1.0257
vol_per_range,gt,full,67,45.741584,221,73,148,41.2,35.6,43.9,-2.74,0.3869,1.0257
vol_per_range,gt,full,75,63.375191,221,55,166,41.2,34.5,43.4,-2.2,0.151,1.0257
vol_per_range,gt,W1,50,15.358726,49,31,18,34.7,32.3,38.9,-4.2,0.0082,0.4298
vol_per_range,gt,W2,50,15.358726,62,36,26,35.5,30.6,42.3,-6.82,0.1664,0.5415
vol_per_range,gt,W3,50,15.358726,59,6,53,44.1,33.3,45.3,-1.22,0.6558,1.3015
vol_per_range,gt,W4,50,15.358726,41,0,41,46.3,,46.3,0.0,,0.9435
trade_surprise_168,gt,full,25,-0.096302,219,164,55,41.6,42.7,38.2,3.37,1.0315,1.0494
trade_surprise_168,gt,full,33,-0.0629,219,147,72,41.6,42.2,40.3,1.27,0.955,1.0494
trade_surprise_168,gt,full,50,0.024202,219,109,110,41.6,42.2,40.9,0.64,0.8557,1.0494
trade_surprise_168,gt,full,67,0.124459,219,72,147,41.6,41.7,41.5,0.06,0.6232,1.0494
trade_surprise_168,gt,full,75,0.170939,219,55,164,41.6,40.0,42.1,-0.52,0.4729,1.0494
trade_surprise_168,gt,W1,50,0.024202,49,25,24,34.7,32.0,37.5,-2.81,0.002,0.4298
trade_surprise_168,gt,W2,50,0.024202,62,26,36,35.5,26.9,41.7,-6.18,-0.8515,0.5415
trade_surprise_168,gt,W3,50,0.024202,59,27,32,44.1,48.1,40.6,3.44,1.1294,1.3015
trade_surprise_168,gt,W4,50,0.024202,41,23,18,46.3,56.5,33.3,13.01,1.3171,0.9435
d1_taker_imbal_12,lt,full,25,-0.022928,221,55,166,41.2,43.6,40.4,0.82,0.6514,1.0257
d1_taker_imbal_12,lt,full,33,-0.018871,221,73,148,41.2,46.6,38.5,2.66,0.9372,1.0257
d1_taker_imbal_12,lt,full,50,-0.007839,221,110,111,41.2,43.6,38.7,2.44,0.9291,1.0257
d1_taker_imbal_12,lt,full,67,0.000971,221,148,73,41.2,40.5,42.5,-1.29,0.8349,1.0257
d1_taker_imbal_12,lt,full,75,0.007792,221,165,56,41.2,41.8,39.3,1.89,0.9323,1.0257
d1_taker_imbal_12,lt,W1,50,-0.007839,49,12,37,34.7,41.7,32.4,2.26,0.7388,0.4298
d1_taker_imbal_12,lt,W2,50,-0.007839,62,21,41,35.5,38.1,34.1,1.34,1.0985,0.5415
d1_taker_imbal_12,lt,W3,50,-0.007839,59,43,16,44.1,41.9,50.0,-5.93,1.3828,1.3015
d1_taker_imbal_12,lt,W4,50,-0.007839,41,36,5,46.3,47.2,40.0,6.34,1.0357,0.9435
body_consist_6,gt,full,25,0.0,221,90,131,41.2,37.8,43.5,-2.33,0.5719,1.0257
body_consist_6,gt,full,33,0.0,221,90,131,41.2,37.8,43.5,-2.33,0.5719,1.0257
body_consist_6,gt,full,50,0.0,221,90,131,41.2,37.8,43.5,-2.33,0.5719,1.0257
body_consist_6,gt,full,67,2.0,221,30,191,41.2,40.0,41.4,-0.18,0.373,1.0257
body_consist_6,gt,full,75,2.0,221,30,191,41.2,40.0,41.4,-0.18,0.373,1.0257
body_consist_6,gt,W1,50,0.0,49,17,32,34.7,23.5,40.6,-5.93,0.1716,0.4298
body_consist_6,gt,W2,50,0.0,62,25,37,35.5,36.0,35.1,0.35,0.806,0.5415
body_consist_6,gt,W3,50,0.0,59,28,31,44.1,46.4,41.9,2.13,1.2803,1.3015
body_consist_6,gt,W4,50,0.0,41,23,18,46.3,52.2,38.9,7.45,1.1891,0.9435
relvol_168,gt,full,25,0.604932,219,164,55,41.6,42.1,40.0,1.55,0.7587,1.0494
relvol_168,gt,full,33,0.69417,219,147,72,41.6,40.8,43.1,-1.5,0.5381,1.0494
relvol_168,gt,full,50,0.906896,219,109,110,41.6,39.4,43.6,-2.08,0.4199,1.0494
relvol_168,gt,full,67,1.145744,219,72,147,41.6,41.7,41.5,0.06,0.4107,1.0494
relvol_168,gt,full,75,1.329821,219,55,164,41.6,47.3,39.6,1.92,0.6041,1.0494
relvol_168,gt,W1,50,0.906896,49,20,29,34.7,25.0,41.4,-6.69,-0.2537,0.4298
relvol_168,gt,W2,50,0.906896,62,31,31,35.5,38.7,32.3,3.23,0.4784,0.5415
relvol_168,gt,W3,50,0.906896,59,37,22,44.1,48.6,36.4,7.7,1.2606,1.3015
relvol_168,gt,W4,50,0.906896,41,24,17,46.3,41.7,52.9,-6.6,0.7639,0.9435
range_vol_84,lt,full,25,0.012646,221,55,166,41.2,41.8,41.0,0.21,0.6431,1.0257
range_vol_84,lt,full,33,0.013653,221,73,148,41.2,39.7,41.9,-0.72,0.7388,1.0257
range_vol_84,lt,full,50,0.016927,221,110,111,41.2,36.4,45.9,-4.77,0.661,1.0257
range_vol_84,lt,full,67,0.020828,221,148,73,41.2,38.5,46.6,-5.4,0.7013,1.0257
range_vol_84,lt,full,75,0.022911,221,165,56,41.2,40.0,44.6,-3.47,0.8828,1.0257
range_vol_84,lt,W1,50,0.016927,49,22,27,34.7,22.7,44.4,-9.75,-0.1586,0.4298
range_vol_84,lt,W2,50,0.016927,62,44,18,35.5,31.8,44.4,-8.96,0.7816,0.5415
range_vol_84,lt,W3,50,0.016927,59,45,14,44.1,40.0,57.1,-13.08,1.2199,1.3015
range_vol_84,lt,W4,50,0.016927,41,34,7,46.3,44.1,57.1,-10.8,0.5455,0.9435
