measure,threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,blocked,blocked_win_rate,d_sharpe,d_cagr,d_mdd
baseline,,1.2965,57.77,51.32,221,41.2,0,,0.0,0.0,0.0
vol_ratio_5_20,0.7634,1.447,66.33,51.52,203,43.8,134,32.8,0.15050000000000008,8.559999999999995,0.20000000000000284
atr_ratio_5_20,1.212,1.2709,54.33,53.66,204,42.2,172,47.7,-0.025600000000000067,-3.440000000000005,2.3399999999999963
range_ratio_5_20,1.212,1.2709,54.33,53.66,204,42.2,172,47.7,-0.025600000000000067,-3.440000000000005,2.3399999999999963
bb_pctl,0.7426,1.0936,41.97,54.95,202,41.6,349,44.7,-0.20290000000000008,-15.800000000000004,3.6300000000000026
vol_ratio_5_50,0.4957,1.3763,61.79,54.03,208,43.8,126,42.9,0.0798000000000001,4.019999999999996,2.710000000000001
