config,trail_min,decay_start,decay_end,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,avg_trend_age_exit,avg_eff_trail_exit,long_trade_count,long_trade_avg_net,d_sharpe,d_cagr,d_mdd
baseline,3.0,0,0,1.3098,52.7,41.01,197,40.6,36.4,43.5,130.8,3.0,21,24.15,0.0,0.0,0.0
min=1.5/start=30/end=120,1.5,30,120,1.2701,47.79,32.69,297,38.7,21.8,39.4,161.0,2.011,31,13.6,-0.03970000000000007,-4.910000000000004,-8.32
min=1.5/start=30/end=180,1.5,30,180,1.3247,50.8,33.45,274,39.4,24.0,39.8,166.1,2.145,29,13.13,0.014899999999999913,-1.9000000000000057,-7.559999999999995
min=1.5/start=30/end=240,1.5,30,240,1.377,53.69,33.69,257,38.9,25.8,40.3,167.6,2.267,26,15.95,0.06719999999999993,0.9899999999999949,-7.32
min=1.5/start=60/end=120,1.5,60,120,1.3792,53.51,32.86,285,38.6,23.0,39.8,165.4,2.051,29,15.4,0.0693999999999999,0.8099999999999952,-8.149999999999999
min=1.5/start=60/end=180,1.5,60,180,1.4596,58.11,31.19,263,39.5,25.2,40.3,169.4,2.193,27,15.36,0.14979999999999993,5.409999999999997,-9.819999999999997
min=1.5/start=60/end=240,1.5,60,240,1.4568,58.21,32.7,250,39.2,26.9,40.8,169.4,2.318,25,17.28,0.14700000000000002,5.509999999999998,-8.309999999999995
min=2.0/start=30/end=120,2.0,30,120,1.3291,51.84,36.11,247,39.7,27.4,41.1,152.5,2.388,25,17.23,0.019299999999999873,-0.8599999999999994,-4.899999999999999
min=2.0/start=30/end=180,2.0,30,180,1.3762,54.57,35.03,237,40.1,28.7,41.3,154.9,2.472,26,17.67,0.06640000000000001,1.8699999999999974,-5.979999999999997
min=2.0/start=30/end=240,2.0,30,240,1.3727,54.58,33.73,232,40.5,29.6,41.7,155.7,2.545,24,17.88,0.06289999999999996,1.8799999999999955,-7.280000000000001
min=2.0/start=60/end=120,2.0,60,120,1.426,57.18,37.34,239,40.6,28.5,41.4,155.6,2.425,24,18.06,0.11619999999999986,4.479999999999997,-3.6699999999999946
min=2.0/start=60/end=180,2.0,60,180,1.4473,58.6,35.03,233,41.2,29.5,41.8,156.8,2.508,24,17.43,0.13749999999999996,5.899999999999999,-5.979999999999997
min=2.0/start=60/end=240,2.0,60,240,1.4323,57.86,32.78,229,41.5,30.2,42.0,156.8,2.582,24,18.02,0.12249999999999983,5.159999999999997,-8.229999999999997
min=2.5/start=30/end=120,2.5,30,120,1.2725,49.86,35.71,218,39.9,31.9,42.3,140.0,2.718,22,19.92,-0.03730000000000011,-2.8400000000000034,-5.299999999999997
min=2.5/start=30/end=180,2.5,30,180,1.2876,50.71,36.23,215,40.0,32.5,42.4,140.6,2.759,22,19.49,-0.022199999999999998,-1.990000000000002,-4.780000000000001
min=2.5/start=30/end=240,2.5,30,240,1.271,49.77,37.21,213,40.4,32.9,42.5,140.5,2.796,22,19.42,-0.03880000000000017,-2.9299999999999997,-3.799999999999997
min=2.5/start=60/end=120,2.5,60,120,1.3264,52.75,35.71,216,40.7,32.4,42.5,141.1,2.74,22,19.55,0.016599999999999948,0.04999999999999716,-5.299999999999997
min=2.5/start=60/end=180,2.5,60,180,1.3217,52.5,37.08,214,40.7,32.8,42.6,141.3,2.78,22,19.41,0.011900000000000022,-0.20000000000000284,-3.9299999999999997
min=2.5/start=60/end=240,2.5,60,240,1.2989,51.3,38.12,212,41.0,33.2,42.8,141.1,2.816,22,19.43,-0.010900000000000132,-1.4000000000000057,-2.8900000000000006
