cost_bps,threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,blocked,blocked_win_rate,d_sharpe,d_cagr,d_mdd
10,baseline,1.5539,75.17,46.35,221,43.9,0,,0.0,0.0,0.0
10,0.6,1.7249,84.88,49.06,197,46.2,205,38.5,0.171,9.71,2.71
10,0.7,1.7194,85.06,47.04,202,46.5,157,37.6,0.1655,9.89,0.69
15,baseline,1.5216,72.89,46.99,221,43.9,0,,0.0,0.0,0.0
15,0.6,1.695,82.74,49.65,197,46.2,205,38.0,0.1734,9.85,2.66
15,0.7,1.6889,82.87,47.64,202,46.5,157,36.9,0.1673,9.98,0.65
20,baseline,1.4893,70.65,47.63,221,43.0,0,,0.0,0.0,0.0
20,0.6,1.6652,80.63,50.22,197,45.7,205,37.1,0.1759,9.98,2.59
20,0.7,1.6585,80.69,48.24,202,46.0,157,35.7,0.1692,10.04,0.61
25,baseline,1.4571,68.43,48.25,221,43.0,0,,0.0,0.0,0.0
25,0.6,1.6353,78.53,50.79,197,45.7,205,36.6,0.1782,10.1,2.54
25,0.7,1.6281,78.55,48.83,202,46.0,157,35.0,0.171,10.12,0.58
30,baseline,1.4249,66.24,48.87,221,42.1,0,,0.0,0.0,0.0
30,0.6,1.6055,76.46,51.36,197,44.2,205,36.6,0.1806,10.22,2.49
30,0.7,1.5977,76.43,49.42,202,44.6,157,35.0,0.1728,10.19,0.55
40,baseline,1.3606,61.95,50.09,221,41.6,0,,0.0,0.0,0.0
40,0.6,1.546,72.39,52.46,197,44.2,205,35.6,0.1854,10.44,2.37
40,0.7,1.537,72.26,50.57,202,44.6,157,33.8,0.1764,10.31,0.48
50,baseline,1.2965,57.77,51.32,221,41.2,0,,0.0,0.0,0.0
50,0.6,1.4866,68.42,53.59,197,44.2,205,34.6,0.1901,10.65,2.27
50,0.7,1.4764,68.18,51.74,202,43.6,157,33.8,0.1799,10.41,0.42
