config,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.3322,60.04,51.32,219,41.6,10.88,-3.62,43.0,0.0,0.0,0.0
thresh=0.5,1.1194,43.19,54.51,184,40.8,11.09,-3.87,37.8,-0.2128000000000001,-16.85,3.1899999999999977
thresh=0.55,1.1931,47.19,52.28,175,42.3,11.15,-3.91,37.2,-0.1391,-12.850000000000001,0.9600000000000009
thresh=0.65,1.1244,42.19,54.85,160,45.0,10.26,-4.02,34.9,-0.20779999999999998,-17.85,3.530000000000001
