window,train_period,test_period,train_bars,test_bars,train_baseline_sharpe,train_best_sharpe,selected_threshold,test_baseline_sharpe,test_baseline_cagr,test_baseline_mdd,test_baseline_trades,test_baseline_win_rate,test_baseline_exposure,test_selected_sharpe,test_selected_cagr,test_selected_mdd,test_selected_trades,test_selected_blocked,test_selected_blocked_wr,test_selected_exposure,test_selected_median_vr,d_sharpe_selected,d_mdd_selected,selected_wins_sharpe,test_fixedA_sharpe,test_fixedA_cagr,test_fixedA_mdd,test_fixedA_trades,test_fixedA_blocked,test_fixedA_blocked_wr,test_fixedA_exposure,test_fixedA_median_vr,d_sharpe_fixedA,d_mdd_fixedA,fixedA_wins_sharpe,test_fixedB_sharpe,test_fixedB_cagr,test_fixedB_mdd,test_fixedB_trades,test_fixedB_blocked,test_fixedB_blocked_wr,test_fixedB_exposure,test_fixedB_median_vr,d_sharpe_fixedB,d_mdd_fixedB,fixedB_wins_sharpe,test_vr_median,test_vr_p25,test_vr_p75,test_frac_below_06,test_frac_below_07
1,2019-01-01 → 2021-06-30,2021-07-01 → 2023-06-30,5472,4380,2.2102,2.2337,0.9,0.4788,11.14,41.01,49,34.7,35.4,0.5072,12.17,41.41,47,26,15.4,34.3,0.4146,0.0284,0.4,1,0.8761,26.55,31.01,42,69,23.2,32.8,0.3499,0.3973,-10.0,1,0.8132,24.11,29.89,44,53,15.1,33.4,0.3636,0.3344,-11.12,1,0.4742,0.2668,0.7997,61.1,68.5
2,2019-01-01 → 2022-06-30,2022-07-01 → 2024-06-30,7662,4386,1.9966,2.0864,0.6,0.6722,18.1,32.3,61,34.4,48.3,0.9759,29.15,28.75,51,86,32.6,44.2,0.3619,0.3037,-3.55,1,0.9759,29.15,28.75,51,86,32.6,44.2,0.3619,0.3037,-3.55,1,1.0103,30.8,28.75,54,61,29.5,45.4,0.37,0.3381,-3.55,1,0.4623,0.2538,0.8239,61.4,67.6
3,2019-01-01 → 2023-06-30,2023-07-01 → 2025-06-30,9852,4386,1.5559,1.7092,0.6,1.725,65.49,25.61,57,45.6,50.8,1.8884,69.77,21.31,48,68,33.8,47.9,0.3683,0.1634,-4.3,1,1.8884,69.77,21.31,48,68,33.8,47.9,0.3683,0.1634,-4.3,1,1.8811,69.99,21.07,51,48,35.4,48.5,0.4368,0.1561,-4.54,1,0.475,0.2688,0.7961,61.6,68.8
4,2019-01-01 → 2024-06-30,2024-07-01 → 2026-02-28,12048,3603,1.5788,1.7301,0.6,0.9068,22.99,15.63,41,43.9,41.2,1.0925,27.39,14.87,36,43,32.6,38.8,0.3701,0.1857,-0.76,1,1.0925,27.39,14.87,36,43,32.6,38.8,0.3701,0.1857,-0.76,1,1.0912,27.51,15.82,37,33,33.3,39.3,0.4367,0.1844,0.19,1,0.4834,0.2846,0.7696,61.7,70.3
