config,rp_threshold,tq_threshold,sharpe,cagr_pct,mdd_pct,trades,and_gate_exits,d_sharpe,d_mdd
baseline,,,1.2965,57.77,51.32,221,0,0.0,0.0
AND_rp=0.1_tq=-0.25,0.1,-0.25,1.2881,57.15,51.32,221,4,-0.008399999999999963,0.0
AND_rp=0.1_tq=-0.18,0.1,-0.18,1.3054,58.25,50.22,221,6,0.008899999999999908,-1.1000000000000014
AND_rp=0.1_tq=-0.1,0.1,-0.1,1.3202,59.16,47.77,221,7,0.023700000000000054,-3.549999999999997
AND_rp=0.1_tq=-0.03,0.1,-0.03,1.3202,59.16,47.77,221,7,0.023700000000000054,-3.549999999999997
AND_rp=0.1_tq=0.05,0.1,0.05,1.3001,57.79,47.77,222,8,0.0036000000000000476,-3.549999999999997
AND_rp=0.1_tq=0.12,0.1,0.12,1.3001,57.79,47.77,222,8,0.0036000000000000476,-3.549999999999997
AND_rp=0.1_tq=0.2,0.1,0.2,1.3001,57.79,47.77,222,8,0.0036000000000000476,-3.549999999999997
AND_rp=0.13_tq=-0.25,0.13,-0.25,1.2897,57.25,51.32,221,4,-0.006799999999999917,0.0
AND_rp=0.13_tq=-0.18,0.13,-0.18,1.3232,59.35,47.52,221,7,0.026699999999999946,-3.799999999999997
AND_rp=0.13_tq=-0.1,0.13,-0.1,1.3219,59.26,47.77,221,7,0.02540000000000009,-3.549999999999997
AND_rp=0.13_tq=-0.03,0.13,-0.03,1.3219,59.26,47.77,221,7,0.02540000000000009,-3.549999999999997
AND_rp=0.13_tq=0.05,0.13,0.05,1.3017,57.9,47.77,222,8,0.0052000000000000934,-3.549999999999997
AND_rp=0.13_tq=0.12,0.13,0.12,1.3017,57.9,47.77,222,8,0.0052000000000000934,-3.549999999999997
AND_rp=0.13_tq=0.2,0.13,0.2,1.3017,57.9,47.77,222,8,0.0052000000000000934,-3.549999999999997
AND_rp=0.16_tq=-0.25,0.16,-0.25,1.2927,57.45,51.32,221,5,-0.0038000000000000256,0.0
AND_rp=0.16_tq=-0.18,0.16,-0.18,1.3262,59.55,47.52,221,8,0.02970000000000006,-3.799999999999997
AND_rp=0.16_tq=-0.1,0.16,-0.1,1.3197,59.11,47.77,222,9,0.02320000000000011,-3.549999999999997
AND_rp=0.16_tq=-0.03,0.16,-0.03,1.3355,60.09,47.77,222,10,0.038999999999999924,-3.549999999999997
AND_rp=0.16_tq=0.05,0.16,0.05,1.315,58.69,47.77,223,11,0.01849999999999996,-3.549999999999997
AND_rp=0.16_tq=0.12,0.16,0.12,1.3096,58.32,47.77,224,12,0.013100000000000112,-3.549999999999997
AND_rp=0.16_tq=0.2,0.16,0.2,1.3096,58.32,47.77,224,12,0.013100000000000112,-3.549999999999997
AND_rp=0.19_tq=-0.25,0.19,-0.25,1.3023,58.06,49.76,221,7,0.005800000000000027,-1.5600000000000023
AND_rp=0.19_tq=-0.18,0.19,-0.18,1.3464,60.82,43.99,222,10,0.049900000000000055,-7.329999999999998
AND_rp=0.19_tq=-0.1,0.19,-0.1,1.3398,60.37,44.24,223,11,0.043300000000000116,-7.079999999999998
AND_rp=0.19_tq=-0.03,0.19,-0.03,1.3694,62.23,44.24,223,13,0.07289999999999996,-7.079999999999998
AND_rp=0.19_tq=0.05,0.19,0.05,1.3445,60.51,44.24,225,15,0.04800000000000004,-7.079999999999998
AND_rp=0.19_tq=0.12,0.19,0.12,1.344,60.48,44.24,225,15,0.0475000000000001,-7.079999999999998
AND_rp=0.19_tq=0.2,0.19,0.2,1.344,60.48,44.24,225,15,0.0475000000000001,-7.079999999999998
AND_rp=0.22_tq=-0.25,0.22,-0.25,1.2874,57.05,51.97,222,9,-0.009099999999999886,0.6499999999999986
AND_rp=0.22_tq=-0.18,0.22,-0.18,1.3597,61.62,43.99,222,13,0.06319999999999992,-7.329999999999998
AND_rp=0.22_tq=-0.1,0.22,-0.1,1.348,60.83,45.26,224,15,0.0515000000000001,-6.060000000000002
AND_rp=0.22_tq=-0.03,0.22,-0.03,1.3782,62.71,45.26,224,16,0.0817000000000001,-6.060000000000002
AND_rp=0.22_tq=0.05,0.22,0.05,1.3495,60.73,45.26,227,19,0.052999999999999936,-6.060000000000002
AND_rp=0.22_tq=0.12,0.22,0.12,1.3572,61.23,45.26,227,19,0.060699999999999976,-6.060000000000002
AND_rp=0.22_tq=0.2,0.22,0.2,1.3508,60.8,45.26,228,20,0.054300000000000015,-6.060000000000002
AND_rp=0.25_tq=-0.25,0.25,-0.25,1.2802,56.51,51.97,223,11,-0.01629999999999998,0.6499999999999986
AND_rp=0.25_tq=-0.18,0.25,-0.18,1.3453,60.63,44.44,225,16,0.048799999999999955,-6.880000000000003
