config,trail_low,trail_high,decay_min,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,it_median,it_p10,it_p90,corr_trail_ret,corr_p,avg_trail_exit,avg_age_exit,d_sharpe,d_cagr,d_mdd,d_sharpe_vs_exp38,d_cagr_vs_exp38,d_mdd_vs_exp38
baseline,,,,1.3098,52.7,41.01,197,40.6,36.4,43.5,3.0,3.0,3.0,,,3.0,130.8,0.0,0.0,0.0,-0.14979999999999993,-5.409999999999997,9.819999999999997
exp38_only,,,1.5,1.4596,58.11,31.19,263,39.5,25.2,40.3,3.0,3.0,3.0,,,2.193,169.4,0.14979999999999993,5.409999999999997,-9.819999999999997,0.0,0.0,0.0
A1,2.0,3.0,,1.1345,42.0,40.49,243,38.3,28.3,41.7,2.414,2.063,2.919,-0.0226,0.7254,2.454,141.4,-0.1753,-10.700000000000003,-0.519999999999996,-0.32509999999999994,-16.11,9.3
A2,2.0,4.0,,1.0382,37.84,42.7,201,39.3,35.5,43.3,2.855,2.115,3.858,-0.0198,0.7798,2.92,151.5,-0.27160000000000006,-14.86,1.6900000000000048,-0.4214,-20.269999999999996,11.510000000000002
A3,2.5,3.5,,1.1874,45.86,38.7,196,42.9,36.5,43.4,2.929,2.558,3.434,-0.0396,0.5818,2.967,145.0,-0.12240000000000006,-6.840000000000003,-2.309999999999995,-0.2722,-12.25,7.510000000000002
A4,1.5,3.0,,1.1582,42.84,36.82,271,37.6,24.9,40.9,2.121,1.595,2.868,-0.0109,0.8579,2.177,146.2,-0.15160000000000018,-9.86,-4.189999999999998,-0.3014000000000001,-15.269999999999996,5.629999999999999
B1,2.0,3.0,1.5,1.2525,46.79,34.22,286,37.8,22.8,39.6,2.41,2.066,2.914,-0.0555,0.3494,2.029,161.6,-0.05730000000000013,-5.910000000000004,-6.789999999999999,-0.20710000000000006,-11.32,3.0299999999999976
B2,2.0,4.0,1.5,1.265,47.88,34.01,256,40.2,26.3,40.8,2.797,2.126,3.836,-0.0507,0.4195,2.235,175.0,-0.04480000000000017,-4.82,-7.0,-0.1946000000000001,-10.229999999999997,2.8199999999999967
B3,2.5,3.5,1.5,1.3134,50.42,33.39,261,39.8,25.6,40.5,2.889,2.563,3.421,-0.0401,0.5191,2.212,172.5,0.0035999999999998256,-2.280000000000001,-7.619999999999997,-0.1462000000000001,-7.689999999999998,2.1999999999999993
B4,1.5,3.0,1.5,1.203,44.06,34.18,305,37.7,21.2,39.2,2.1,1.599,2.864,-0.0607,0.2905,1.926,156.9,-0.1068,-8.64,-6.829999999999998,-0.25659999999999994,-14.049999999999997,2.9899999999999984
