comparison,block_len,mean_delta_sharpe,p05_delta_sharpe,p50_delta_sharpe,p95_delta_sharpe,prob_delta_gt0
A_fixed_0065_minus_baseline,24,0.20923144371082839,-0.03188607947838107,0.20319535860319377,0.4631837790165067,0.926
A_fixed_0065_minus_baseline,72,0.2083785242646301,-0.0019455981368183492,0.20473875855780943,0.4270525300614048,0.948
A_fixed_0065_minus_baseline,144,0.2111871025426899,0.005999215035935991,0.2049508261003521,0.4377560397505758,0.9555
A_fixed_0065_minus_baseline,288,0.20367326156533358,0.006691862677777889,0.19855276435892807,0.4279858550005488,0.959
A_fixed_0060_minus_baseline,24,0.09605787978127012,-0.09011560546829935,0.09411821121752356,0.2881681773815278,0.803
A_fixed_0060_minus_baseline,72,0.09018350310500725,-0.06860937059809664,0.08732455396777211,0.2518247649071328,0.8245
A_fixed_0060_minus_baseline,144,0.09252152493109125,-0.051765537485756886,0.08756241547501942,0.2524750072053788,0.8495
A_fixed_0060_minus_baseline,288,0.09587210405531525,-0.037858178591336944,0.09198965626837691,0.23294438351026536,0.8755
B_online_2000_minus_baseline,24,0.13202410502034695,-0.09543157511606352,0.1335131910835584,0.36332128486500775,0.823
B_online_2000_minus_baseline,72,0.13212143934737358,-0.07768864897701198,0.13385362949126323,0.34743729166090304,0.838
B_online_2000_minus_baseline,144,0.12634767021557816,-0.07803012663971631,0.1243231086207815,0.3383776740089996,0.84
B_online_2000_minus_baseline,288,0.13033872282852013,-0.056928478214146205,0.12670930432691124,0.3227461540135473,0.874
A_fixed_0065_minus_B_online_2000,24,0.07410792769713735,-0.059926253866797494,0.0678718338687957,0.2272765761226046,0.786
A_fixed_0065_minus_B_online_2000,72,0.07278469729487745,-0.052245462079283364,0.062396482494326166,0.23532204735705267,0.785
A_fixed_0065_minus_B_online_2000,144,0.07387194383707088,-0.04502162856609436,0.06398022376489626,0.23435389343895652,0.7935
A_fixed_0065_minus_B_online_2000,288,0.07830431552780732,-0.036145754305330846,0.06789843347750213,0.2302320321298233,0.8235
