direction,variant,parameter,aggregate_sharpe,aggregate_cagr,aggregate_mdd,trades,exposure,positive_folds_vs_baseline,fold1_sharpe,fold2_sharpe,fold3_sharpe,fold4_sharpe
baseline,vdo_only_baseline,,1.1307597999722059,0.3504215910457551,-0.37093930671517295,118,0.40923317683881066,4,0.606679459597133,1.5375055975163145,1.818573333257709,-0.022157305304334646
A_fixed,fixed_round_0.0065,0.0065,1.3404104320598558,0.412714195273453,-0.28561783607987157,104,0.3745109546165884,3,1.1196934805892897,1.5075440738480446,1.8753474413200957,0.3222358854220594
A_fixed,fixed_round_0.0060,0.0060,1.2253666093328761,0.37473362012560707,-0.2968996241383951,107,0.3803794992175274,4,0.7532772299687942,1.5626592051639885,1.8753474413200957,0.3222358854220594
B_online,online_poscore_2000,last 2000 positive-core bars,1.26529121783359,0.3867986510446302,-0.3178591767158525,106,0.37754303599374023,3,0.9293555785728982,1.4787659358878165,1.8821093570246874,0.3222358854220594
B_online,online_expanding,all past positive-core bars,1.2583760978964544,0.3839570278282023,-0.3178591767158525,106,0.37734741784037557,3,0.9293555785728982,1.4631964869921945,1.8753474413200957,0.3222358854220594
