scenario,model,total_score,return_term,mdd_penalty,sharpe_term,profit_factor_term,trade_count_term,reject_term,residual
harsh,candidate,16.813799999999993,26.349999999999998,-22.104000000000003,5.1008,2.4670000000000005,5.0,0.0,0.0
harsh,baseline,91.0416,93.625,-21.54,9.4976,4.459,5.0,0.0,0.0
