strategy,sharpe,cagr,mdd,trades,avg_hold,oracle_capture
E0,1.371778,57.716228,39.957135,189,40.777778,0.000000
"X17_WATCH(α=25%,G=1,δ=1.5)",1.315030,54.666278,45.509157,184,42.228261,0.000000
X14_D,1.428000,64.000000,36.700000,133,60.300000,10.900000
X16_E,1.424000,62.700000,38.900000,162,48.700000,10.400000
