quintile,n,mean_du,median_du,p10_du,best_G,best_delta
1,33,-0.008758,-0.006509,-0.022238,3,1.0
2,33,-0.003390,-0.001003,-0.021999,3,1.0
3,33,-0.003309,-0.004468,-0.022145,3,1.0
4,33,0.000447,0.002495,-0.020661,3,1.0
5,36,-0.006153,0.003575,-0.032264,3,1.0
