fold,param,e0_sharpe_test,filter_sharpe_test,d_sharpe,win,best_alpha,best_G,best_delta
1,"α=5%,G=1,δ=0.5",-0.889635,-0.889635,-0.000000,False,5,1,0.500000
2,"α=25%,G=3,δ=1.5",1.193455,1.131790,-0.061666,False,25,3,1.500000
3,"α=25%,G=1,δ=0.5",1.719573,1.778543,0.058970,True,25,1,0.500000
4,"α=25%,G=2,δ=1.5",0.047022,0.284913,0.237892,True,25,2,1.500000
