candidate_a,candidate_b,point_mean_diff_daily,pooled_p_mean_gt0,meaningful_advantage_a_over_b,pooled_q05,pooled_q95,common_days
S_H4_TREND,S_H4_TREND_Q,4.338326672303179e-05,0.5604444444444444,False,-0.00045797213231429294,0.0005730367552593694,1735
S_H4_TREND,S_D1_TREND,-2.5748935192047383e-05,0.48155555555555557,False,-0.00047633687695400784,0.00046383210852493076,1735
S_H4_TREND,S_XR_D1EMA,8.597723449772313e-05,0.6607777777777778,False,-0.0003207773443761651,0.000534481777071626,1735
S_H4_TREND,S_XR_D1ROLL,0.0002352166843248796,0.7682222222222223,False,-0.00032125778364131745,0.0008403271299719475,1735
S_H4_TREND,L2_D1_TREND_AND_H4_VOLQUIET,0.001113895385144685,0.979,True,0.00022393922837959248,0.0020418714665384127,1735
S_H4_TREND,L2_D1_VOLHIGH_AND_H4_PULLBACK,0.0014676527217879463,0.9887777777777778,True,0.00041789671589377163,0.0025505949879834284,1735
S_H4_TREND_Q,S_H4_TREND,-4.338326672303179e-05,0.43955555555555553,False,-0.0005730367552593696,0.0004579721323142927,1735
S_H4_TREND_Q,S_D1_TREND,-6.913220191507917e-05,0.417,False,-0.0005161249519818038,0.00040244233783038236,1735
S_H4_TREND_Q,S_XR_D1EMA,4.259396777469134e-05,0.5806666666666667,False,-0.000429348640054165,0.0005331780273799871,1735
S_H4_TREND_Q,S_XR_D1ROLL,0.0001918334176018478,0.7787777777777778,False,-0.0002331578863211885,0.000652733759913457,1735
S_H4_TREND_Q,L2_D1_TREND_AND_H4_VOLQUIET,0.001070512118421653,0.9886666666666667,True,0.0002974920655575558,0.0018562121759322832,1735
S_H4_TREND_Q,L2_D1_VOLHIGH_AND_H4_PULLBACK,0.0014242694550649145,0.9973333333333333,True,0.0005514169888786231,0.0022974901619927973,1735
S_D1_TREND,S_H4_TREND,2.5748935192047383e-05,0.5184444444444445,False,-0.00046383210852493113,0.0004763368769540076,1735
