candidate_id,feature_id,bucket,timeframe,family,feature_col,param_key,param_value,tail,threshold_mode,threshold_value,calibration_mode,discovery_sharpe_daily_365,discovery_cagr,discovery_max_drawdown,discovery_net_return,discovery_trade_count_entries,discovery_positive_fold_share,discovery_worst_fold_cagr,discovery_mean_fold_cagr,discovery_mean_exposure,top_positive_fold_contribution_share,fold_thresholds,fold_net_returns,fold_cagrs,fold_trade_counts,fold_nonnegative_count,stage1_gate_positive_edge,stage1_gate_trades,stage1_gate_fold_share,stage1_gate_isolated_quarter,stage1_promoted,scan_order,source_candidate_id
D1_MOM_RET|n=3|high|sign|thr=0.0,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,high,sign,0.0,fixed_structural,0.733675952987748,0.2619180639306675,-0.6512379081309065,1.2566834883062459,373,0.42857142857142855,-0.8011103637790319,2.0627840582550183,0.5326049037229161,0.3736917207634908,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0005543203859884605, 0.07352093648727731, 0.056008130856050276, 0.95515822365138, 0.9304505440965858, -0.33145069604182975, 0.04694884179040826, -0.10427211736865494, -0.05561348842737823, -0.24712275569099873, -0.002610915691515947, -0.19388489369991413, 0.49391917120049067, -0.014412075419027337]","[-0.0022215182029049485, 0.3291703721969177, 0.24135869309171798, 13.296593657385083, 13.404714220201992, -0.8011103637790319, 0.19964320898189336, -0.353953394994454, -0.20709978773191395, -0.6797110145664751, -0.010318465978819802, -0.5747537340678768, 4.093229443313617, -0.056564500279490004]","[25, 28, 28, 24, 20, 26, 23, 30, 21, 33, 23, 33, 29, 30]",6,True,True,False,True,False,1_native_d1,
D1_MOM_RET|n=3|low|sign|thr=0.0,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,low,sign,0.0,fixed_structural,0.22555612573802752,-0.03285585603423191,-0.6375606767171269,-0.11030920374087638,373,0.5714285714285714,-0.9124721182050238,0.22859007531553788,0.4673950962770838,0.3116529133559973,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.15184948964334388, 0.2551880090112695, 0.055908979110905976, 0.3083771862913933, 0.01073662129174835, -0.15283488979840731, 0.1406001007729154, 0.1088730322863607, -0.00020764460144173658, -0.45516981340756935, -0.06742847201998703, -0.010992576500059803, 0.08694087076913593, 0.022864382424078622]","[-0.48345792927767883, 1.4883979722674665, 0.24089633876516126, 1.9048609062793624, 0.04426247610035405, -0.48586083739956243, 0.6852742172919437, 0.5068282324801587, -0.0008418471070228417, -0.9124721182050238, -0.24191616932915372, -0.042905672905798053, 0.4022812172778605, 0.09491426817946191]","[25, 28, 28, 24, 20, 26, 23, 30, 21, 33, 23, 33, 29, 30]",8,False,True,True,True,False,1_native_d1,
D1_MOM_RET|n=3|high|train_quantile|thr=0.6,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,high,train_quantile,0.6,expanding_train_distribution,0.7342804449933749,0.2419911571301887,-0.6332938520641381,1.1344492516244737,336,0.42857142857142855,-0.6767643077126637,1.7983526959618248,0.3845522489932427,0.4061578111927148,"[0.015668187556585382, 0.016342337812743146, 0.016390580592773096, 0.015706555318944822, 0.017182474704318818, 0.018845113453682803, 0.018420415570371107, 0.018721674233245354, 0.018756454078696725, 0.018756454078696725, 0.0169724611542732, 0.016731839064094214, 0.01630156797110995, 0.015605907284955338]","[-0.06380370081743358, 0.06406734488281796, -0.06756826800818772, 0.7205453850290904, 1.0103598880854028, -0.24540178548112201, 0.0716036676741052, -0.15600900591932165, -0.08716021405399987, -0.1985116249583072, -0.07651569022975369, -0.1540511720890485, 0.4303008648383799, 0.19072707681849344]","[-0.2323680705194172, 0.28284098122695456, -0.24236692192213993, 7.60953640948399, 15.980238521240182, -0.6767643077126637, 0.3157015599875235, -0.4897849351270306, -0.30915926165775165, -0.5883455295163706, -0.2708021449588237, -0.4850730924975276, 3.269179944703806, 1.014104590734814]","[28, 24, 34, 27, 18, 22, 23, 30, 24, 18, 23, 25, 25, 15]",6,True,True,False,True,False,1_native_d1,
D1_MOM_RET|n=3|high|train_quantile|thr=0.7,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,high,train_quantile,0.7,expanding_train_distribution,0.6352452339646005,0.17866179806111226,-0.5964240641543277,0.7773151119854196,284,0.2857142857142857,-0.6167464628886135,2.205201285472207,0.2813219044585504,0.4568379465775733,"[0.030989281268924983, 0.03090562331752487, 0.03151767502001501, 0.03036799469646618, 0.032493464807986136, 0.0358582790496998, 0.03580144143948712, 0.0361066628765146, 0.03602193050017561, 0.035950884115330026, 0.0337011960262259, 0.03283446982191266, 0.03150704065258329, 0.03137142011102716]","[-0.09971804403162243, -0.18240747401954605, -0.01626621886497004, 0.8331289070693302, 1.1317764368990426, -0.2093329631053582, -0.017013628445009088, -0.11895721381091018, -0.13795587465119064, -0.2126699519706554, -0.015361880736189604, -0.10901515625719482, 0.45031931549845994, 0.062188710805510805]","[-0.3438353213175427, -0.5541523129170149, -0.06299352193160312, 10.071071185608558, 20.53922413545292, -0.6101894541622765, -0.06581475592920105, -0.39496350072200437, -0.4523081332827329, -0.6167464628886135, -0.05957141799473831, -0.36741931174894615, 3.5167361931585557, 0.27378067528554095]","[26, 28, 24, 23, 20, 24, 27, 26, 22, 12, 12, 14, 15, 11]",4,True,True,False,True,False,1_native_d1,
D1_MOM_RET|n=3|high|train_quantile|thr=0.8,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,high,train_quantile,0.8,expanding_train_distribution,0.7495691685909553,0.17157128125465637,-0.3013404267856996,0.7401885497997478,200,0.42857142857142855,-0.5250429471698197,0.4033449213920305,0.1717755329556572,0.2374818467233035,"[0.05415795862246025, 0.05410743073947729, 0.054375264121707234, 0.052553744415180105, 0.053899748690546416, 0.05607947478721132, 0.0555243512264485, 0.0554611865719, 0.05524542003354155, 0.054976684382785336, 0.053862417501151505, 0.05337153017495526, 0.05228218849294106, 0.05228218849294106]","[-0.008017669273080341, -0.05730852680016685, -0.06322851762173043, 0.23296011209598788, 0.30905362128415437, -0.11222491104296228, 0.2495648428829329, -0.06389486426858937, -0.015560704825978044, -0.16941314254601259, 0.13454983167279977, -0.08494570019539427, 0.3069518315821429, 0.06829763651071752]","[-0.03177269092816859, -0.21078258053537902, -0.2282802154006407, 1.2952520192440105, 1.980762549447777, -0.3796400980219967, 1.4203602525819, -0.23045578434360514, -0.06162296426201186, -0.5250429471698197, 0.6500859923117417, -0.29685542272193555, 1.9614008214651837, 0.30341996782137026]","[14, 20, 8, 19, 21, 21, 13, 18, 16, 10, 12, 8, 10, 10]",6,True,True,False,True,False,1_native_d1,
D1_MOM_RET|n=3|low|train_quantile|thr=0.6,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,low,train_quantile,0.6,expanding_train_distribution,0.31863029032856865,0.021197866222238293,-0.5353125224598597,0.07614840433880032,350,0.5714285714285714,-0.88496640018057,0.24921204488180898,0.3860745189937736,0.2615662700246837,"[-0.009845118642909718, -0.009398331156756987, -0.009149330293530933, -0.007678688487434802, -0.005274906993606975, -0.00462064565286202, -0.006299389271213318, -0.0068649751252428445, -0.007147047699958662, -0.007267315302088258, -0.008377088305489222, -0.008835968927417023, -0.008410153294846777, -0.007779922102384806]","[-0.09893851206009974, 0.2692492653240368, -0.001798276265732035, 0.21091149333873882, 0.12660018028712194, -0.15283488979840731, 0.19786152224685027, 0.12527517379199882, -0.0022114879301642354, -0.4167571164966968, 0.04239747680488515, -0.05696141224351736, 0.016923879927776664, 0.04015404364216524]","[-0.3415534781070688, 1.6021094566755005, -0.007115452628540853, 1.136679672068989, 0.621643428573893, -0.48586083739956243, 1.0467731983046114, 0.5972153271982694, -0.008938555465420328, -0.88496640018057, 0.1790856715934619, -0.20759279424584842, 0.07043104650920728, 0.17105834544840381]","[26, 24, 24, 20, 24, 26, 25, 26, 21, 33, 23, 26, 20, 32]",8,True,True,True,True,True,1_native_d1,
D1_MOM_RET|n=3|low|train_quantile|thr=0.7,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,low,train_quantile,0.7,expanding_train_distribution,0.4897408808535271,0.12526411452521802,-0.6033738910206665,0.5111947298515116,272,0.6428571428571429,-0.8745441463088138,0.47706035476074,0.2906682516930964,0.23983726166328953,"[-0.023406323861040704, -0.023579134483064534, -0.022506545468255697, -0.021272097338350414, -0.018873610159354123, -0.018873610159354123, -0.020364210769645667, -0.02099531928175495, -0.021541933894468474, -0.021599687827654396, -0.022686439016992185, -0.02349822983819349, -0.02255337713197347, -0.021817863230624502]","[0.31574961318560324, 0.16018635209184517, -0.011702160319535082, 0.04693816490303182, 0.2980626699530753, -0.10737452039454409, 0.35985367407321367, 0.18435414702788666, -0.11610827099331078, -0.4040083098313062, 0.06688943869358877, -0.14706044199941837, 0.036949579616936123, 0.03142406014919219]","[2.006094300698011, 0.8147637910493268, -0.04562713063477031, 0.1995946723354063, 1.8805594681211413, -0.3659331884091528, 2.385444590558892, 0.9567268376679949, -0.3937964844581836, -0.8745441463088138, 0.2928874700246904, -0.46798277614666217, 0.15852653118688553, 0.13213103096559298]","[24, 16, 14, 6, 22, 22, 27, 26, 15, 29, 23, 14, 14, 20]",9,True,True,True,True,True,1_native_d1,
D1_MOM_RET|n=3|low|train_quantile|thr=0.8,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n3,n,3,low,train_quantile,0.8,expanding_train_distribution,0.5512673455657865,0.1440487898499474,-0.5134614180058876,0.6013116017045605,182,0.6428571428571429,-0.850466727629046,0.3916116564853927,0.1771555221865781,0.2372195710850239,"[-0.04343312691053815, -0.04212176588017318, -0.040979912390953575, -0.03977844201769739, -0.038067508960026086, -0.038067508960026086, -0.04055289545603525, -0.040405810946471915, -0.04058226704016479, -0.04070644255542033, -0.04140439164120747, -0.041378247780451634, -0.04073624080488445, -0.04030454902584429]","[0.29857121509421414, 0.10156684213160228, 0.08754683589052692, 0.039572191812846214, 0.30638354866662576, -0.012396060776179052, 0.1863518900069403, -0.024090593333597754, -0.13092815260048862, -0.3773418063380358, 0.14710342610852023, -0.052901937142334265, 0.09115343419866884, 0.0333116254336403]","[1.8517402400090779, 0.47402577378354716, 0.3950936310165085, 0.1664577334450641, 1.9561821007788782, -0.04880025637321195, 0.969854276478997, -0.09221425486360979, -0.4339732824248378, -0.850466727629046, 0.723720097587937, -0.19397312364146635, 0.4244528006592869, 0.14046418196837207]","[16, 12, 6, 4, 14, 20, 20, 15, 13, 21, 17, 8, 8, 8]",9,True,True,True,True,True,1_native_d1,
D1_MOM_RET|n=5|high|sign|thr=0.0,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n5,n,5,high,sign,0.0,fixed_structural,0.5446798413075816,0.15828320683800357,-0.8092499795547046,0.6721076815097524,295,0.5,-0.8531034632487475,2.097304582568281,0.5434742793438445,0.3542633772969091,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.23330920348284812, 0.046184703879290856, 0.09492849741633003, 1.048881065212142, 0.7729578932866328, -0.3707040874703327, -0.11809319727312184, 0.24001659452972146, -0.25635233873370833, -0.38009744084120733, -0.09338883934123032, -0.23334723555376158, 0.5244601044090234, -0.030715211087839256]","[1.3189355608365303, 0.19853008632369717, 0.43304133838442493, 16.215071897148007, 9.200237054021478, -0.8439695870399907, -0.39260604512006425, 1.3478126581745942, -0.6991689912267741, -0.8531034632487475, -0.3222450660318942, -0.6515360062601263, 4.528882590982851, -0.11761787098805765]","[19, 22, 23, 16, 16, 22, 25, 20, 17, 27, 21, 29, 15, 23]",7,True,True,True,True,True,1_native_d1,
D1_MOM_RET|n=5|low|sign|thr=0.0,D1_MOM_RET,native_d1,1d,directional_persistence,D1_MOM_RET__n5,n,5,low,sign,0.0,fixed_structural,0.4638831076429943,0.10174730608360738,-0.5126106050444005,0.4035547034411806,295,0.7142857142857143,-0.7997416060933373,0.4771173172705487,0.45652572065615543,0.22246139444886057,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.30437642566902934, 0.30354214142035785, 0.02861559315731399, 0.26867479378325676, 0.10936472975670974, -0.09275896428888697, 0.3486464908527216, -0.1828144975822773, 0.2798776788724522, -0.3303065601700145, 0.030062908465537053, 0.048272033002049186, 0.09542660913060508, 0.05473946802652718]","[-0.7667804163186531, 1.8957789966854417, 0.11844042773780794, 1.5705800130121639, 0.5233564909187722, -0.3232532840365554, 2.276096594677721, -0.5511081482445903, 1.7203680383736963, -0.7997416060933373, 0.12469697147792136, 0.20566975634011442, 0.44721220451169263, 0.238326402745487]","[19, 22, 23, 16, 16, 22, 25, 20, 17, 27, 21, 29, 15, 23]",10,True,True,True,True,True,1_native_d1,
