cycle,time_iso,bar_close_ts_ms,btc_price,nav_usdt,exposure,btc_free,usdt_free,action,client_order_id,fill_price,fill_qty,order_status
0,2026-02-22T16:46:05Z,1771778765766,67593.99,77594.18,0.0,0.0,77594.1847,HOLD,,,,
1,2026-02-22T16:46:06Z,1771778766270,67593.98,77594.18,0.0,0.0,77594.1847,BUY,9781ed73822291837600,67606.0,0.001,FILLED
2,2026-02-22T16:46:07Z,1771778767007,67593.98,77594.17,0.000871,0.001,77526.5787,BUY,b47c426de714259e89ae,67606.0,0.001,FILLED
3,2026-02-22T16:46:07Z,1771778767745,67593.98,77594.16,0.001742,0.002,77458.9727,HOLD,,,,
4,2026-02-22T16:46:08Z,1771778768252,67606.0,77594.18,0.001743,0.002,77458.9727,SELL,fec5296628f069894d8f,67605.99,0.002,FILLED
reconcile,2026-02-22T16:46:09Z,1771778768995,67606.0,77594.18,0.000871,0.001,77526.57868,RECONCILE,157edb846b2b8dd7852b,,,FILLED
