features,quantiles,sharpe,cagr,mdd,trade_entries,exposure,wf_pos_windows,wf_windows,wf_min_window_return
"('trendvol_5', 'dist_high_20')","(0.6, 0.5)",1.1135680706872597,0.38790601243689515,-0.45322762175333864,119,0.3258042436687201,3,4,-0.31674864293369087
"('trendvol_5', 'dist_high_20')","(0.6, 0.6)",1.0410746384736924,0.330923068466519,-0.402795560852628,113,0.30390143737166325,3,4,-0.28671637405759587
"('trendvol_5', 'dist_high_20')","(0.6, 0.7)",1.0966308509901561,0.3344735417692686,-0.29279698139576316,110,0.2662559890485969,3,4,-0.1553372675735185
"('trendvol_5', 'dist_high_20')","(0.7, 0.5)",1.3504879064121647,0.4638197201799308,-0.3380113190236754,108,0.25051334702258726,3,4,-0.19986672984942644
"('trendvol_5', 'dist_high_20')","(0.7, 0.6)",1.1875314721111057,0.3632711919730809,-0.3483835875632053,103,0.23477070499657768,3,4,-0.21829462709189473
"('trendvol_5', 'dist_high_20')","(0.7, 0.7)",1.1519746607983898,0.3308016989549136,-0.2840303560974202,99,0.20670773442847365,3,4,-0.13931795973708083
"('trendvol_5', 'dist_high_20')","(0.8, 0.5)",1.4193041330107157,0.4266651214166348,-0.185202607741476,73,0.16084873374401096,3,4,-0.10027672674172627
"('trendvol_5', 'dist_high_20')","(0.8, 0.6)",1.2673449066757985,0.3395759874672457,-0.20567333773248309,73,0.15468856947296372,3,4,-0.12319898795084538
"('trendvol_5', 'dist_high_20')","(0.8, 0.7)",1.2143876375512659,0.3061190298835281,-0.17718711731127812,73,0.1375770020533881,3,4,-0.07410055333195953
"('trendvol_5', 'dist_high_40')","(0.6, 0.5)",1.269679079428718,0.45924242457838527,-0.33368969627709666,109,0.30390143737166325,3,4,-0.2724119348442352
"('trendvol_5', 'dist_high_40')","(0.6, 0.6)",1.27187682335841,0.4254959642262426,-0.3013888306528695,102,0.2785763175906913,3,4,-0.2096302545758436
"('trendvol_5', 'dist_high_40')","(0.6, 0.7)",1.3343695682927557,0.43150901020238597,-0.23216497031997163,88,0.2457221081451061,3,4,-0.12539130687512623
"('trendvol_5', 'dist_high_40')","(0.7, 0.5)",1.6560496144297796,0.6061325171377527,-0.19177051963229852,95,0.2402464065708419,3,4,-0.04694759275729943
"('trendvol_5', 'dist_high_40')","(0.7, 0.6)",1.5925490218488398,0.5253515140999887,-0.17283922648470695,88,0.21971252566735114,3,4,-0.028914549316251925
"('trendvol_5', 'dist_high_40')","(0.7, 0.7)",1.4370926030863502,0.4391704371179326,-0.18388351742540376,80,0.19849418206707733,4,4,0.003039054761967863
"('trendvol_5', 'dist_high_40')","(0.8, 0.5)",1.4764005188679825,0.43371581385111857,-0.15883021749634452,70,0.1567419575633128,3,4,-0.02843963857420062
"('trendvol_5', 'dist_high_40')","(0.8, 0.6)",1.3123922743166465,0.34033858422854224,-0.1541922084932955,67,0.14442162902121836,3,4,-0.05024943816443517
"('trendvol_5', 'dist_high_40')","(0.8, 0.7)",1.24017042300848,0.3123438622985997,-0.1507981025795272,62,0.13347022587268995,3,4,-0.005027355938510336
"('trendvol_5', 'dist_high_60')","(0.6, 0.5)",1.3513370126951534,0.5018528684750894,-0.298124222748544,103,0.29637234770704995,3,4,-0.17778395464239727
"('trendvol_5', 'dist_high_60')","(0.6, 0.6)",1.3756855884327823,0.47733290108989235,-0.2417458812122949,93,0.26351813826146475,3,4,-0.09015779835492543
"('trendvol_5', 'dist_high_60')","(0.6, 0.7)",1.1963186184939238,0.3530746573126726,-0.2533210436754112,81,0.2272416153319644,4,4,0.017370551305672555
"('trendvol_5', 'dist_high_60')","(0.7, 0.5)",1.5840207054858435,0.5788893813393301,-0.2129822021235248,92,0.23682409308692676,3,4,-0.05209402271365904
"('trendvol_5', 'dist_high_60')","(0.7, 0.6)",1.5983287175852072,0.543292670518102,-0.17283922648470684,82,0.21149897330595482,3,4,-0.017481240758334793
