block_size,median_sharpe,p_sharpe_gt_0,median_cagr,p_cagr_gt_0,median_mdd,sharpe_p05,sharpe_p95,cagr_p05,cagr_p95
5,1.2848711925035472,0.9995,0.3771693919224969,0.9975,-0.2981849602651863,0.7147526358213532,1.8431993444209018,0.16511295779911264,0.6441723677555689
10,1.2664053478965287,1.0,0.36898640729116994,0.9985,-0.29790724822056946,0.6257989474516983,1.8582457521788076,0.1393430401887981,0.6707739083922288
20,1.2721221882368887,0.999,0.3729266906439499,0.9985,-0.2933609146132327,0.6922121834097479,1.869665999967355,0.15143061779788564,0.6973595425485285
40,1.2610686619492393,1.0,0.36454773742049684,1.0,-0.2885435542714982,0.6842179404638423,1.8484745661087072,0.14508725280823725,0.700483669666129
