features,quantiles,sharpe,cagr,mdd,trade_entries,exposure,wf_pos_windows,wf_windows,wf_min_window_return,family
"('ret_10',)","(0.6,)",1.0077942724684328,0.38165845385509534,-0.5418355854047818,105,0.38535249828884327,3,4,-0.4289719822817424,single_ret
"('ret_10',)","(0.7,)",0.990574293072387,0.3478696916518793,-0.45210850225963917,76,0.2922655715263518,3,4,-0.3371279737467483,single_ret
"('ret_10',)","(0.8,)",0.8872086039607552,0.2514601054179786,-0.26067144844371315,54,0.18275154004106775,3,4,-0.2116498605374887,single_ret
"('ret_20',)","(0.6,)",0.9152818096754933,0.30107777085207443,-0.4586708559925865,59,0.3483915126625599,3,4,-0.30561916913013154,single_ret
"('ret_20',)","(0.7,)",0.8475055878488682,0.2445374159379119,-0.4106847789888808,46,0.2683093771389459,2,4,-0.13538958928464906,single_ret
"('ret_20',)","(0.8,)",1.2130170906935434,0.34531784665269827,-0.28728230070759087,34,0.18275154004106775,4,4,0.004282648962068647,single_ret
"('ret_60',)","(0.6,)",1.1675279555264861,0.4854622557475172,-0.3234943411025849,27,0.41546885694729635,4,4,0.01094444751550161,single_ret
"('ret_60',)","(0.7,)",0.938863723375079,0.3055367881415525,-0.4094819518881001,33,0.25667351129363447,3,4,0.0,single_ret
"('ret_60',)","(0.8,)",0.6217062807479296,0.15051153085454594,-0.4650592272991223,30,0.14510609171800137,2,4,-0.11950385094078997,single_ret
"('trendvol_5',)","(0.6,)",0.8881606576063298,0.31281979250172287,-0.6032859815956129,150,0.3894592744695414,3,4,-0.5143237246017738,single_trendvol
"('trendvol_5',)","(0.7,)",1.367605157310047,0.5139682151976785,-0.3844567442018022,127,0.29021218343600275,3,4,-0.27787436058563797,single_trendvol
"('trendvol_5',)","(0.8,)",1.3235956804941778,0.408262997459083,-0.16802476346170947,86,0.18001368925393565,3,4,-0.07944133383495944,single_trendvol
"('trendvol_10',)","(0.6,)",0.7325730442388472,0.23482837015148883,-0.5550435325930958,106,0.39014373716632444,3,4,-0.47077085260964846,single_trendvol
"('trendvol_10',)","(0.7,)",1.1146190408490357,0.3983641325559124,-0.4395906231677873,78,0.2929500342231348,3,4,-0.333151365024994,single_trendvol
