funding,scenario,sharpe,cagr,mdd,calmar,trades
no_fund,smart,-0.13798007285323208,-10.16801029964347,79.23015540988538,-0.12833510482266236,238
no_fund,base,-0.28487574107392144,-14.625016522203483,84.55117939475416,-0.17297235386773172,238
no_fund,harsh,-0.43942119709399713,-19.090026992711838,88.69649421153282,-0.2152286532000229,238
fund_1bps,smart,-0.35405034816587566,-16.668081885891873,86.25813168973964,-0.19323490503880844,238
fund_1bps,base,-0.5007258878569154,-20.80781045997596,89.78241342911839,-0.23175819924247587,238
fund_1bps,harsh,-0.6549503174495392,-24.954702025204647,92.52695766119713,-0.2697019620658062,238
