fund_bps_per_bar,fund_ann_pct,sharpe,cagr,mdd,calmar
0.00,0.00,-0.4394,-19.09,88.70,-0.2152
0.25,5.48,-0.4933,-20.60,89.81,-0.2293
0.50,10.96,-0.5472,-22.07,90.81,-0.2431
0.75,16.44,-0.6011,-23.53,91.71,-0.2565
1.00,21.91,-0.6550,-24.95,92.53,-0.2697
1.50,32.87,-0.7627,-27.73,93.93,-0.2953
2.00,43.83,-0.8705,-30.42,95.12,-0.3198
3.00,65.75,-1.0862,-35.50,96.88,-0.3665
5.00,109.58,-1.5174,-44.64,98.73,-0.4521
