rank,window_start_ms,n_entries_blocked,n_trades,sharpe,delta_sharpe,cagr_native
1,1609329599999,1,207,1.160419,-0.069439,0.606668
2,1609343999999,1,207,1.160419,-0.069439,0.606668
3,1609358399999,1,207,1.160419,-0.069439,0.606668
4,1609372799999,1,207,1.160419,-0.069439,0.606668
5,1609387199999,1,207,1.160419,-0.069439,0.606668
6,1609401599999,1,207,1.160419,-0.069439,0.606668
7,1609415999999,1,207,1.160419,-0.069439,0.606668
8,1609430399999,1,207,1.160419,-0.069439,0.606668
9,1609444799999,1,207,1.160419,-0.069439,0.606668
10,1609459199999,1,207,1.160419,-0.069439,0.606668
11,1609473599999,1,207,1.160419,-0.069439,0.606668
12,1609487999999,1,207,1.160419,-0.069439,0.606668
13,1609502399999,1,207,1.160419,-0.069439,0.606668
14,1609516799999,1,207,1.160419,-0.069439,0.606668
15,1609531199999,1,207,1.160419,-0.069439,0.606668
16,1609545599999,1,207,1.160419,-0.069439,0.606668
17,1609559999999,1,207,1.160419,-0.069439,0.606668
18,1609574399999,1,207,1.160419,-0.069439,0.606668
19,1587614399999,1,207,1.163335,-0.066524,0.603194
20,1587599999999,1,207,1.166627,-0.063231,0.606073
