rank,type,n_trades,sharpe,cagr_native,skipped
1,worst,207,1.211079,0.653769,[2984]
2,worst,207,1.211079,0.653769,[2984]
3,worst,207,1.211079,0.653769,[2984]
4,worst,207,1.211079,0.653769,[2984]
5,worst,207,1.211079,0.653769,[2984]
6,worst,207,1.211079,0.653769,[2984]
7,worst,207,1.211079,0.653769,[2984]
8,worst,207,1.211079,0.653769,[2984]
9,worst,207,1.211079,0.653769,[2984]
10,worst,207,1.211079,0.653769,[2984]
11,worst,207,1.211079,0.653769,[2984]
12,worst,207,1.211079,0.653769,[2984]
13,worst,207,1.211079,0.653769,[2984]
14,worst,207,1.211079,0.653769,[2984]
15,worst,207,1.216221,0.660748,[15456]
16,worst,207,1.216221,0.660748,[15456]
17,worst,207,1.216221,0.660748,[15456]
18,worst,207,1.216221,0.660748,[15456]
19,worst,207,1.216221,0.660748,[15456]
20,worst,207,1.218320,0.661969,[3342]
1,best,206,1.240943,0.682817,[11671]
2,best,206,1.240943,0.682817,[11671]
3,best,206,1.240943,0.682817,[11671]
4,best,206,1.240943,0.682817,[11671]
5,best,206,1.240943,0.682817,[11671]
6,best,206,1.240943,0.682817,[11671]
7,best,206,1.240943,0.682817,[11671]
8,best,206,1.240943,0.682817,[11671]
9,best,206,1.241646,0.683859,[4996]
10,best,206,1.241646,0.683859,[4996]
11,best,206,1.241646,0.683859,[4996]
12,best,206,1.241646,0.683859,[4996]
13,best,206,1.241646,0.683859,[4996]
14,best,206,1.241646,0.683859,[4996]
15,best,206,1.241646,0.683859,[4996]
16,best,206,1.241646,0.683859,[4996]
17,best,206,1.241646,0.683859,[4996]
18,best,206,1.241646,0.683859,[4996]
19,best,206,1.241646,0.683859,[4996]
20,best,206,1.241646,0.683859,[4996]
