cost_bps,rank_metric,rank_1,rank_2,rank_3,rank_4
10,by_sharpe,E5+EMA1D21,E5+EMA1D21+X18,E5+EMA1D21+X14D,E0
10,by_cagr,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
10,by_calmar,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
15,by_sharpe,E5+EMA1D21,E5+EMA1D21+X18,E5+EMA1D21+X14D,E0
15,by_cagr,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
15,by_calmar,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
20,by_sharpe,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
20,by_cagr,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
20,by_calmar,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
50,by_sharpe,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
50,by_cagr,E5+EMA1D21+X18,E5+EMA1D21+X14D,E5+EMA1D21,E0
50,by_calmar,E5+EMA1D21+X18,E5+EMA1D21,E5+EMA1D21+X14D,E0
