path,e0_sharpe,e0_cagr,e5_sharpe,e5_cagr,x14d_sharpe,x14d_cagr,x18_sharpe,x18_cagr
0,0.8014,26.69,0.7899,22.37,0.6543,18.38,0.9294,28.71
1,0.7478,23.02,1.2666,40.51,1.0035,33.79,0.9776,29.64
2,0.2790,3.08,0.0609,-2.90,0.1519,-0.79,0.1963,1.19
3,0.5893,17.23,0.0922,-2.41,0.1832,-0.26,0.0175,-5.11
4,0.6292,19.80,0.6781,19.64,0.2507,1.95,0.5948,16.65
5,1.3997,57.79,1.2754,42.37,1.1808,44.35,1.2906,45.09
6,0.9703,34.19,0.8994,26.11,0.6940,20.43,0.6828,18.64
7,1.0076,40.70,0.9563,31.98,0.9800,36.09,0.9301,31.23
8,1.5740,66.80,1.2724,38.68,0.9933,31.20,1.2719,40.33
9,0.8569,28.61,1.3028,43.50,0.9515,30.74,1.2416,41.72
10,1.3540,60.65,1.0158,32.63,0.9025,31.37,1.0050,33.57
11,0.9088,29.93,0.8769,23.81,0.6410,17.42,0.8134,22.04
12,0.8874,33.30,0.9172,29.45,0.8129,26.31,0.9417,30.92
13,0.5363,14.84,0.0507,-3.67,0.2382,1.92,0.0277,-4.75
14,1.4839,74.87,1.0030,33.86,0.9135,32.50,1.1205,40.65
15,1.7865,96.35,1.4923,56.85,1.2335,51.72,1.4916,60.56
16,0.7654,24.36,0.2909,4.31,0.2401,2.32,0.2477,2.92
17,1.6593,80.39,1.6735,66.19,1.5549,68.30,1.6224,65.26
18,1.0505,38.53,0.5662,13.27,0.7568,22.02,0.6415,16.22
19,1.2457,53.85,0.9389,31.05,1.2412,52.58,0.9213,31.47
20,1.4738,60.42,1.5128,51.51,1.2679,45.42,1.5098,53.45
21,1.2493,56.34,1.1919,43.78,1.2385,53.46,1.1012,40.90
22,1.5726,88.80,1.4932,65.09,1.1147,48.60,1.3928,60.56
23,1.3623,65.21,1.3470,53.28,1.2148,50.71,1.2434,48.68
24,0.2633,2.74,0.0636,-3.37,0.0869,-3.98,0.0955,-2.84
25,0.7231,23.12,0.7305,20.30,0.6448,18.59,0.6820,18.63
26,0.2348,2.03,0.4482,9.33,0.3233,5.33,0.5025,11.25
27,0.3186,5.13,-0.1811,-8.17,0.0470,-3.40,0.0412,-2.84
28,0.3214,4.81,0.3346,5.74,0.3197,5.16,0.4830,11.08
29,0.7381,25.48,1.0606,34.72,0.8338,28.25,1.0138,33.79
30,1.2084,50.46,1.2491,40.32,1.0327,34.54,1.3073,45.11
31,1.4925,76.48,1.3351,52.47,1.0735,44.05,1.3717,57.33
32,1.3519,57.60,1.4029,49.71,1.0645,37.77,1.2464,43.20
33,0.3853,7.39,0.5377,13.91,0.3588,6.42,0.3895,7.86
34,1.5330,81.30,0.9955,35.07,1.1084,45.59,1.0033,37.42
35,1.3516,64.97,1.0647,35.19,0.9593,34.34,0.9213,30.16
36,0.4435,10.24,0.4596,10.39,0.4478,10.30,0.4750,11.12
37,0.4173,8.85,0.3828,7.01,-0.0222,-6.01,0.2639,3.43
38,0.8180,27.78,0.2857,4.15,0.3403,5.96,0.3809,7.22
