strategy,cost_bps,gross_cagr,net_cagr,cost_drag_cagr,drag_fraction,trades,annual_drag_bps
E0,15,73.37,67.50,5.86,0.0799,211,443
E5+EMA1D21,15,84.00,77.91,6.09,0.0726,202,424
E5+EMA1D21+X14D,15,78.09,75.07,3.02,0.0387,106,223
E5+EMA1D21+X18,15,87.40,82.48,4.92,0.0562,161,338
E0,50,73.37,52.68,20.69,0.2820,211,1478
E5+EMA1D21,50,84.00,62.48,21.52,0.2562,202,1415
E5+EMA1D21+X14D,50,78.09,67.18,10.91,0.1397,106,742
E5+EMA1D21+X18,50,87.40,69.88,17.52,0.2005,161,1127
