cost_bps,d_sharpe_x14d,d_sharpe_x18,d_cagr_x14d,d_cagr_x18
2,-0.1764,-0.0252,-5.91,3.40
5,-0.1657,-0.0201,-5.19,3.68
10,-0.1478,-0.0116,-4.00,4.13
15,-0.1298,-0.0031,-2.84,4.58
20,-0.1119,0.0054,-1.70,5.01
25,-0.0939,0.0139,-0.58,5.44
30,-0.0759,0.0225,0.52,5.85
40,-0.0399,0.0396,2.65,6.64
50,-0.0039,0.0567,4.70,7.40
75,0.0863,0.0995,9.48,9.12
100,0.1765,0.1423,13.80,10.63
