feature,rho_fwd_ret_1,p_fwd_ret_1,rho_fwd_ret_6,p_fwd_ret_6,rho_fwd_ret_24,p_fwd_ret_24,rho_fwd_ret_42,p_fwd_ret_42,rho_fwd_ret_168,p_fwd_ret_168,sig_count
body_ratio,0.0019252966269235857,0.8058968464445486,0.023515428480793247,0.0026839803608595947,0.009763448929989652,0.21271570443623888,0.014410765206024932,0.06586375853879178,-0.0057806493068304115,0.4606462963570619,1
close_pos,-0.077901814028517,0.0,-0.02088361668641649,0.007682148509925657,0.0022099956505578088,0.777898581406667,0.0012027562356439184,0.8779993474045062,0.013248676468539193,0.09083567901209166,2
upper_wick,0.03026712526166188,0.00011148856714449096,-0.008617348063045436,0.2713995380977581,-0.005547609674510588,0.4789206502221939,-0.011386499311843722,0.1461396113075859,0.002929176284497437,0.7085181092904629,1
lower_wick,-0.031783563147677975,4.9526341923122885e-05,-0.019312948505221892,0.013694191352410678,-0.005877030057072547,0.4532038843231081,-0.0037140476412099856,0.6354856352018081,0.008892278760646827,0.256401745259901,1
wick_asym,0.04057434814560963,2.2036566660332824e-07,0.009248858144879676,0.23782115871509513,0.0017296523855946742,0.8252848164275626,-0.0037675750269483698,0.6306218867894247,-0.0028764225383645873,0.7135338929620514,1
taker_ratio,-0.023804047315494348,0.002376441586168232,-0.002156675352092103,0.7831215791914288,-0.0035032044257536283,0.6547955753645054,-0.009033917742273564,0.24890400858822082,0.0024728396090718803,0.7523022480587247,1
taker_imbalance,-0.023804047315494348,0.002376441586168232,-0.002156675352092103,0.7831215791914288,-0.0035032044257536283,0.6547955753645054,-0.009033917742273564,0.24890400858822082,0.0024728396090718803,0.7523022480587247,1
range_per_vol,-0.005165320336467684,0.5097370024735006,-0.013869241101978286,0.07669014917073369,-0.03648361134848552,3.1865900940175607e-06,-0.056185306010435705,7.054357098468245e-13,-0.14210210108937477,0.0,3
vol_per_range,0.005165320336467684,0.5097370024735006,0.013869241101978286,0.07669014917073369,0.03648361134848552,3.1865900940175607e-06,0.056185306010435705,7.054357098468245e-13,0.14210210108937477,0.0,3
taker_price_align,0.011465173197851357,0.1433728768184528,0.00262058811577385,0.7380308502847133,-0.006405230099806421,0.4136426143087788,-0.009307959290738842,0.234835792718306,-0.013705637516743809,0.08023266782593752,0
volume_z,0.015667244206568752,0.04552743667258108,0.013625383482321174,0.08201839395270571,0.014146692373743516,0.07097463682143434,0.020784437078437218,0.007976431108250415,-0.016425939308879582,0.03602861100809074,1
range_z,0.015284315241545336,0.05107321246237695,0.016307310331113,0.037391830557088834,0.012760592292707467,0.10337612787170491,0.02334464056485916,0.002882674279824471,0.010163926304901608,0.19454518672661614,1
vol_accel,0.005130578792134587,0.5126527918008277,0.00039481392741573735,0.9598181991570136,0.005157080353556949,0.5104773766351538,0.002084097336121244,0.7902781037893742,-0.0006361253158715424,0.9353026341890589,0
range_accel,0.0008862206590458184,0.9099595484984488,-0.0003596104621870466,0.9633983603699785,0.0038786208258250105,0.6206364440247891,0.001159305625923162,0.8823919829764539,0.0003392527071338517,0.9654690674418966,0
body_consist_6,-0.03661327294206658,2.9397945802145387e-06,-0.023145057450930033,0.0031318272628737542,-0.0005635557515905448,0.9426610311927581,-0.001494649213526736,0.8487138008447026,0.03819522102309357,1.0762068525238533e-06,3
cc_vs_body,0.002292839434203774,0.769803554672932,-0.0008814026500491398,0.9104333047811748,0.0044902164513669724,0.5665886030161538,0.0017375624327923272,0.8244987899082983,0.0006328732138928667,0.9356228104675699,0
ratr_pct,0.014479309770337364,0.06458790433227302,0.024997845831336532,0.0014173268392567717,0.02492062148571976,0.0014664766584042699,0.016406228379474343,0.036252139108126746,-0.012583816617463715,0.10824386798703967,2
rangepos_84,-0.023089691438750143,0.003204340548265572,-0.03079404118102341,8.443991039253085e-05,-0.013576725478309059,0.08311668394820049,-0.0033298831064012377,0.6708446111102546,0.07248783746929242,0.0,3
rangepos_168,-0.014612833051236802,0.06216111303874117,-0.030989718097246082,7.607690422739566e-05,-0.005127061056036467,0.5128772173457723,0.008507895020821157,0.27753432247041543,0.10382080023274241,0.0,2
relvol_168,0.012378049247392164,0.1141364347337106,0.012599545162881424,0.107803541306839,0.009881295865686349,0.20724591148159743,0.01761724369743541,0.02453205399642333,-0.002981823760890106,0.7035249991523811,0
taker_imbal_12,0.002737263527449133,0.7268240539516881,-0.003401907579561784,0.6641565857761735,-0.0035266054770195635,0.6526406706365553,-0.026078895650830616,0.0008710780726870482,0.019134167171511115,0.014591563752910375,1
taker_imbal_168,-0.003987047412413152,0.6108482242376168,-0.010764187494034563,0.16948243797599405,-0.01697071361392431,0.030299540729308738,-0.008802011726597435,0.26126111497729054,-0.0060917274196544595,0.43687159648955776,0
