datetime,open_time,close,range,body,body_ratio,close_pos,upper_wick,lower_wick,wick_asym,direction,volume,taker_ratio,taker_imbalance,range_per_vol,vol_per_range,taker_price_align,volume_z,range_z,body_consist_6,vol_accel,range_accel,cc_vs_body,ema_fast,ema_slow,ema_spread,ema_regime,ratr,ratr_pct,vdo,vdo_sign,rangepos_84,rangepos_168,ret_6,ret_84,ret_168,relvol_168,trendq_84,vol_ratio_5_20,range_vol_84,taker_imbal_12,taker_imbal_168,trade_surprise_168,d1_regime_ok,d1_dist_mean_21,d1_rangevol_84,d1_rangevol84_rank365,d1_taker_imbal_12,fwd_ret_1,fwd_ret_6,fwd_ret_24,fwd_ret_42,fwd_ret_168,anomaly_score
2017-08-17 04:00:00,1502942400000,4349.99,88.67000000000007,88.51000000000022,0.9981955565580258,1.0,0.0,0.001804443441974223,-0.001804443441974223,1.0,82.088865,0.7798101118830185,0.559620223766037,1.0801708611758742,0.9257794631780752,0.559620223766037,,,,,,,4349.99,4349.99,0.0,0,,,0.0,0,,,,,,,,,,,,,0,,,,,0.017772454649321125,-0.011434509044848329,-0.0704277481097657,-0.04521159818758206,-0.11034508125306036,0.9900011492931846
2025-06-22 12:00:00,1750593600000,98906.21,3941.649999999994,-3833.2599999999948,0.9725013636421297,0.004277396521761345,0.023221239836108982,0.004277396521761345,0.018943843314347637,-1.0,12422.58545,0.4113581581360746,-0.17728368372785072,0.3172970728086233,3.1516206284170383,0.17728368372785072,5.487287278224654,4.719385938717935,0.0,6.896429361826943,5.443891996409058,1.0000025114117368,103695.05961377347,105139.02914050748,-0.013733905843892637,0,1074.0382296332502,0.010859158688147592,-0.019882452896408512,0,0.0014483515766071972,0.001425352850917103,-0.044946403517157396,-0.06678626274855981,-0.07536611193051523,4.865122682147362,-0.9189125384424707,1.030777907229286,0.010741219003314274,-0.15978105977721313,-0.058600089180975146,-0.5105186419647825,0,-0.032647577220463075,0.03183572567807077,0.0,-0.07225549253934815,-0.0002362844557486319,0.025422973946731865,0.08500366154966406,0.08942320204161087,0.19983477276098227,0.9353913350515863
2018-06-26 08:00:00,1530000000000,6227.99,0.0,0.0,,,,,,0.0,0.0,,,,,,-1.9361467996980295,-1.4403175068767673,-2.0,,,,6247.3363559880645,6669.04363741806,-0.06323354657089343,0,117.27259052299425,0.018829925950907798,-0.011454803832151805,0,0.4378240240350265,0.2346896189405358,-0.0007749301279356136,-0.08836892720699097,-0.15901728554433736,0.0,-0.6142200671358465,0.10070642621581517,0.021070594173170414,0.1158702682561703,0.08874365581297394,-1.8961115119764484,0,-0.07544946949536746,0.053787540590172676,,0.08590253564367223,-0.0064194065822198755,-0.021877042191782582,0.027458297139205463,0.055960269685725324,0.3259478579766506,0.9295788581234595
2025-01-13 08:00:00,1736755200000,90851.22,2828.4300000000076,-2739.020000000004,0.968388823481577,0.006399309864485164,0.02521186665393787,0.006399309864485164,0.018812556789452706,-1.0,10070.64435,0.39977717314582756,-0.2004456537083449,0.2808588906230223,3.5605068359478484,0.2004456537083449,2.640704092048316,2.058308821678967,-4.0,3.7976083272941272,1.7330747596551592,1.0,94589.94864947106,96038.52699274477,-0.015083304467832383,0,1256.4962102864697,0.01383026238157803,-0.011697352001473482,0,0.0015221263348043695,0.001033112098941649,-0.03611348351442001,-0.03270674298154852,-0.12439302264818353,2.392571456510727,-0.36288593860616775,1.7391367497447068,0.013660849649482916,-0.09142909652266784,-0.04065776162295931,-0.46651830898956437,0,-0.01490195736762323,0.040030934350638855,0.5342465753424658,-0.04377149020281823,0.014006746414632613,0.06270493670860988,0.12532996254755857,0.19138950473092162,0.07495705616281215,0.9231851782258178
2018-06-26 04:00:00,1529985600000,6227.99,0.0,0.0,,,,,,0.0,0.0,,,,,,-1.9761369537164866,-1.456816528997627,-1.0,0.0,0.0,,6248.6705874355175,6676.456303593153,-0.064073768584003,0,123.44483212946764,0.019820974685166106,-0.002999242321860107,0,0.42575800762461224,0.2346896189405358,0.012958011294142091,-0.0874739926739927,-0.129440691304597,0.0,-0.6079534434852455,0.18331832035972284,0.021197244654783794,0.1194477082290697,0.088938931470542,-1.9048769934803884,0,-0.07544946949536746,0.053787540590172676,,0.08590253564367223,0.0,-0.02499361752347063,0.02912175517301728,0.06711635696267977,0.28950110709875904,0.9158539726776577
2018-02-08 16:00:00,1518105600000,7784.02,0.0,0.0,,,,,,0.0,0.0,,,,,,-1.2982188484429487,-2.1740669202161245,0.0,,,,7944.281630996486,9779.462774980615,-0.18765664190462314,0,460.5885493118978,0.059171038783546,0.0190380417583816,1,0.2857163448371955,0.20792681576551958,-0.04265134715975405,-0.30732177864075594,-0.4204075007297009,0.0,-0.9034525514007852,0.0,0.054218652289754636,0.0003198965340838189,-0.037455056055636926,-2.09889390587164,0,-0.2569370630875003,0.13296481528215434,,-0.05321273300751406,0.0,0.10908630758913763,0.12959113671342054,0.2989111024894591,0.20218858636026116,0.9097883912350545
2018-02-08 20:00:00,1518120000000,7784.02,0.0,0.0,,,,,,0.0,0.0,,,,,,-1.2732783244227353,-2.1134301278054513,1.0,,,,7933.942170932197,9746.480249774324,-0.18596847604386166,0,437.5591218463029,0.056212486844368706,0.017932355287351886,1,0.2857163448371955,0.20792681576551958,0.02434794051848943,-0.3034602295962424,-0.412028902965379,0.0,-0.8920329226100626,0.0,0.05391611352505791,-0.007091615930901685,-0.037447614290323505,-2.0872481853984466,0,-0.2569370630875003,0.13296481528215434,,-0.05321273300751406,0.0,0.11560864437655602,0.14375348470327665,0.2846947978037055,0.19111204750244717,0.9092495154374524
2018-02-09 00:00:00,1518134400000,7784.02,0.0,0.0,,,,,,0.0,0.0,,,,,,-1.2502126891563068,-2.0496016353972557,0.0,,,,7924.269772807539,9714.042890273922,-0.1842459558479378,0,415.6811657539877,0.05340186250215027,0.016871033528611218,1,0.2857163448371955,0.20792681576551958,0.0,-0.32356044055359445,-0.4379768953068591,0.0,-0.9558095309868461,0.0,0.053416877302578956,0.008118833169863171,-0.03754476497598347,-2.076387397114386,0,-0.2274124205432222,0.1320728040336315,,-0.05391594617641249,0.0,0.14411833474220256,0.12545831074431973,0.29813386913188816,0.15017818556478527,0.9088811356350599
2018-02-09 04:00:00,1518148800000,7784.02,0.0,0.0,,,,,,0.0,0.0,,,,,,-1.2261620758064793,-1.9930377600214177,0.0,,,,7915.221400368343,9682.141685476006,-0.18249271106600168,0,394.89710746628833,0.05073176937704275,0.015855922927920436,1,0.2857163448371955,0.20792681576551958,0.0,-0.2930045413260671,-0.4327359488822362,0.0,-0.87158655560895,0.0,0.05282758618195269,0.005413491374216983,-0.037362878218055506,-2.0638535352315697,0,-0.2274124205432222,0.1320728040336315,,-0.05391594617641249,0.06373185063758831,0.14531437483459692,0.11374199963514982,0.24466535286394428,0.11593109986870535,0.9074477361163868
2025-07-09 16:00:00,1752076800000,111750.0,2952.2999999999884,2678.679999999993,0.9073197168309466,0.9153913897639148,0.08460861023608528,0.00807167293296814,0.07653693730311714,1.0,6338.57455,0.5753846012586536,0.1507692025173073,0.4657671810454589,2.1469954103580347,0.1507692025173073,2.9175000013574963,3.7497516647063844,4.0,1.5428361301835196,2.3312723568568843,1.0,108715.20655806885,107432.23600494192,0.011942137675212412,1,784.3334406886127,0.007018643764551344,0.032182851305739266,1,0.9637964519682309,0.981898999912318,0.027379502864159244,0.03701055885542992,0.027658308348438743,2.8797152009668596,0.7840539939252373,1.6951314963993769,0.0073868553703296405,0.019414134971112995,-0.057112010675630986,-0.6876795027830451,1,0.021989116220027194,0.026282062679607643,0.0,-0.0621400899278064,-0.004617539149888096,0.013886442953020113,0.06452868008948548,0.06693655480984344,0.0314093064876958,0.8998253032549518
