config_id,bucket,timeframe,family,feature,mode,tail,threshold_spec,threshold_value,params,formula,bars,days,cagr,sharpe_daily,max_drawdown,trade_count,exposure,total_return,positive_fold_share,worst_fold_cagr,isolated_quarter_flag,largest_positive_fold_share,stage1_pass_gate,cost_side
native_h4|posfrac_6|high|abs|0.750,native_h4,4h,directional_persistence,posfrac_6,absolute,high,0.750,0.75,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.11878778514870336,-0.5491232669386825,-0.6151838970390697,316,0.09580994648218248,-0.3573292614522743,0.42857142857142855,-0.810732955827524,0,0.2656982358180638,0,0.001
native_h4|posfrac_6|low|abs|0.250,native_h4,4h,directional_persistence,posfrac_6,absolute,low,0.250,0.25,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,0.041747651786488094,0.2977289668123581,-0.4789786366308214,234,0.06944263151024671,0.15372416150088597,0.42857142857142855,-0.498427783253118,0,0.3083580944588789,0,0.001
native_h4|posfrac_6|low|abs|0.350,native_h4,4h,directional_persistence,posfrac_6,absolute,low,0.350,0.35,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.14823690165004044,-0.15366948979183673,-0.7090335795145309,650,0.2969586215898708,-0.42933900293620175,0.21428571428571427,-0.7947787810251854,0,0.7418644473599801,0,0.001
native_h4|posfrac_6|low|abs|0.450,native_h4,4h,directional_persistence,posfrac_6,absolute,low,0.450,0.45,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.14823690165004044,-0.15366948979183673,-0.7090335795145309,650,0.2969586215898708,-0.42933900293620175,0.21428571428571427,-0.7947787810251854,0,0.7418644473599801,0,0.001
native_h4|posfrac_6|high|q|0.60,native_h4,4h,directional_persistence,posfrac_6,train_quantile,high,q0.60,0.6,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.15669996830755073,-0.01403854310772761,-0.90123457754417,650,0.7030413784101293,-0.44891822076491295,0.35714285714285715,-0.9230078275762761,0,0.6535666857870679,0,0.001
native_h4|posfrac_6|high|q|0.70,native_h4,4h,directional_persistence,posfrac_6,train_quantile,high,q0.70,0.7,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.25931097351293064,-0.5073949621691115,-0.8115018182347645,708,0.3602662837749641,-0.6498803801657411,0.35714285714285715,-0.8540245899548337,0,0.4991163180309435,0,0.001
native_h4|posfrac_6|high|q|0.80,native_h4,4h,directional_persistence,posfrac_6,train_quantile,high,q0.80,0.8,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.25931097351293064,-0.5073949621691115,-0.8115018182347645,708,0.3602662837749641,-0.6498803801657411,0.35714285714285715,-0.8540245899548337,0,0.4991163180309435,0,0.001
native_h4|posfrac_6|low|q|0.40,native_h4,4h,directional_persistence,posfrac_6,train_quantile,low,q0.40,0.4,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.09256265237965877,0.12740665994800984,-0.7242025695179719,708,0.6397337162250359,-0.2879392048279129,0.5,-0.8919398272143804,0,0.3515957574760819,0,0.001
native_h4|posfrac_6|low|q|0.30,native_h4,4h,directional_persistence,posfrac_6,train_quantile,low,q0.30,0.3,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.14571513274914905,0.01386061452783306,-0.7736635333422615,680,0.6142801200887612,-0.4234101653803213,0.42857142857142855,-0.8919398272143804,0,0.38453661688213536,0,0.001
native_h4|posfrac_6|low|q|0.20,native_h4,4h,directional_persistence,posfrac_6,train_quantile,low,q0.20,0.2,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,7661,1277,-0.14823690165004044,-0.15366948979183673,-0.7090335795145309,650,0.2969586215898708,-0.42933900293620175,0.21428571428571427,-0.7947787810251854,0,0.7418644473599801,0,0.001
native_h4|posfrac_12|high|abs|0.550,native_h4,4h,directional_persistence,posfrac_12,absolute,high,0.550,0.55,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.03611201797579622,0.12562966799532435,-0.7784370072657765,500,0.41991907061741285,-0.12066752678186354,0.5,-0.884182268901191,0,0.46694332457528,0,0.001
native_h4|posfrac_12|high|abs|0.650,native_h4,4h,directional_persistence,posfrac_12,absolute,high,0.650,0.65,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.13247358696603762,-0.3352851184426559,-0.6621572712058118,359,0.19357786189792456,-0.3915543230368276,0.5,-0.8737040908906284,0,0.4522172987539815,0,0.001
native_h4|posfrac_12|high|abs|0.750,native_h4,4h,directional_persistence,posfrac_12,absolute,high,0.750,0.75,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.06587982271474768,-0.28167821877354776,-0.41356969855978454,139,0.05886959926902493,-0.21200936526933734,0.2857142857142857,-0.49415834750439647,0,0.4764603623953713,0,0.001
native_h4|posfrac_12|low|abs|0.250,native_h4,4h,directional_persistence,posfrac_12,absolute,low,0.250,0.25,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.044594459098666994,-0.17646450850084552,-0.3807685359162971,107,0.039942566244615584,-0.14742669776029116,0.6428571428571429,-0.6534878509347162,0,0.2621985298851271,0,0.001
native_h4|posfrac_12|low|abs|0.350,native_h4,4h,directional_persistence,posfrac_12,absolute,low,0.350,0.35,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.10961562159900229,-0.24461509623599234,-0.5509423874434564,284,0.13340295000652655,-0.33363653328917986,0.42857142857142855,-0.600002703375397,0,0.4620242755529018,0,0.001
native_h4|posfrac_12|low|abs|0.450,native_h4,4h,directional_persistence,posfrac_12,absolute,low,0.450,0.45,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.1674145006331943,-0.1677120610646671,-0.71108291020782,494,0.3228038115128573,-0.4730122756204952,0.35714285714285715,-0.6433883781899239,0,0.4161312193151152,0,0.001
native_h4|posfrac_12|high|q|0.60,native_h4,4h,directional_persistence,posfrac_12,train_quantile,high,q0.60,0.6,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.03611201797579622,0.12562966799532435,-0.7784370072657765,500,0.41991907061741285,-0.12066752678186354,0.5,-0.884182268901191,0,0.46694332457528,0,0.001
native_h4|posfrac_12|high|q|0.70,native_h4,4h,directional_persistence,posfrac_12,train_quantile,high,q0.70,0.7,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.03611201797579622,0.12562966799532435,-0.7784370072657765,500,0.41991907061741285,-0.12066752678186354,0.5,-0.884182268901191,0,0.46694332457528,0,0.001
native_h4|posfrac_12|high|q|0.80,native_h4,4h,directional_persistence,posfrac_12,train_quantile,high,q0.80,0.8,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.03812589094122276,0.09150972394787037,-0.7340651834784426,458,0.3691424096071009,-0.12707411006000946,0.5,-0.8737040908906284,0,0.49728080265324637,0,0.001
native_h4|posfrac_12|low|q|0.40,native_h4,4h,directional_persistence,posfrac_12,train_quantile,low,q0.40,0.4,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.11514664962436738,0.07416174749765334,-0.7715634927502995,500,0.5800809293825872,-0.3479970599844766,0.35714285714285715,-0.907146254159644,0,0.2851653674388936,0,0.001
native_h4|posfrac_12|low|q|0.30,native_h4,4h,directional_persistence,posfrac_12,train_quantile,low,q0.30,0.3,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.1674145006331943,-0.1677120610646671,-0.71108291020782,494,0.3228038115128573,-0.4730122756204952,0.35714285714285715,-0.6433883781899239,0,0.4161312193151152,0,0.001
native_h4|posfrac_12|low|q|0.20,native_h4,4h,directional_persistence,posfrac_12,train_quantile,low,q0.20,0.2,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,7661,1277,-0.1674145006331943,-0.1677120610646671,-0.71108291020782,494,0.3228038115128573,-0.4730122756204952,0.35714285714285715,-0.6433883781899239,0,0.4161312193151152,0,0.001
native_h4|posfrac_24|high|abs|0.550,native_h4,4h,directional_persistence,posfrac_24,absolute,high,0.550,0.55,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,0.13881182866332753,0.5304535142157166,-0.5789741800606427,290,0.2931732149849889,0.5753221413005674,0.5,-0.6184246794946278,0,0.31558574653383625,1,0.001
native_h4|posfrac_24|high|abs|0.650,native_h4,4h,directional_persistence,posfrac_24,absolute,high,0.650,0.65,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,-0.06087581764568495,-0.2902072389228844,-0.43932989068742023,135,0.07649131967106122,-0.19715211344385464,0.35714285714285715,-0.4226959410612662,0,0.5920273169230121,0,0.001
native_h4|posfrac_24|high|abs|0.750,native_h4,4h,directional_persistence,posfrac_24,absolute,high,0.750,0.75,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,-0.05418259258728819,-1.0269028904880502,-0.22459647974748442,21,0.006787625636339904,-0.17696816480166833,0.5,-0.23936326503816885,1,0.9971613999477205,0,0.001
native_h4|posfrac_24|low|abs|0.250,native_h4,4h,directional_persistence,posfrac_24,absolute,low,0.250,0.25,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,0.005615111758733304,0.14626031173168805,-0.06481830985543979,10,0.003002219031458034,0.019769724009998102,0.7857142857142857,-0.0615387220185315,0,0.598376734656533,0,0.001
native_h4|posfrac_24|low|abs|0.350,native_h4,4h,directional_persistence,posfrac_24,absolute,low,0.350,0.35,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,0.02129314517654124,0.21087692910356334,-0.29824291650651114,63,0.03485184701736066,0.07644541496178103,0.5,-0.43556132357246247,0,0.2104975769374584,1,0.001
native_h4|posfrac_24|low|abs|0.450,native_h4,4h,directional_persistence,posfrac_24,absolute,low,0.450,0.45,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,-0.20393359699865532,-0.3665109416247657,-0.5798676883115428,228,0.19383892442239917,-0.5494993573240106,0.35714285714285715,-0.7881247186606374,0,0.7449498574972109,0,0.001
native_h4|posfrac_24|high|q|0.60,native_h4,4h,directional_persistence,posfrac_24,train_quantile,high,q0.60,0.6,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,0.08362481810999545,0.4026262435708848,-0.7655958764376148,383,0.47304529434799636,0.3241738203000002,0.5,-0.854423513947773,0,0.39789764135149147,1,0.001
native_h4|posfrac_24|high|q|0.70,native_h4,4h,directional_persistence,posfrac_24,train_quantile,high,q0.70,0.7,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,0.1969625549930547,0.6450795676069404,-0.5842193396353115,349,0.3768437540791019,0.874942863608065,0.5,-0.5941105465475371,0,0.3277708394051628,1,0.001
native_h4|posfrac_24|high|q|0.80,native_h4,4h,directional_persistence,posfrac_24,train_quantile,high,q0.80,0.8,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,0.13881182866332753,0.5304535142157166,-0.5789741800606427,290,0.2931732149849889,0.5753221413005674,0.5,-0.6184246794946278,0,0.31558574653383625,1,0.001
native_h4|posfrac_24|low|q|0.40,native_h4,4h,directional_persistence,posfrac_24,train_quantile,low,q0.40,0.4,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,-0.10022366743744426,0.09338337385863758,-0.6925340284980889,383,0.5269547056520036,-0.3087364752206103,0.35714285714285715,-0.8998506336537001,0,0.5882799650009806,0,0.001
native_h4|posfrac_24|low|q|0.30,native_h4,4h,directional_persistence,posfrac_24,train_quantile,low,q0.30,0.3,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,-0.0960659316453325,0.036345883589029675,-0.6183081219558255,348,0.3460383761910978,-0.29750414348031273,0.5,-0.7725469091702659,0,0.7528702658104205,0,0.001
native_h4|posfrac_24|low|q|0.20,native_h4,4h,directional_persistence,posfrac_24,train_quantile,low,q0.20,0.2,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,7661,1277,-0.13448920329186265,-0.07499347649484084,-0.6340304295322842,297,0.2768568072053257,-0.3964825179162218,0.42857142857142855,-0.7881247186606374,1,0.8251370953908989,0,0.001
native_h4|ret_3|high|zero|0,native_h4,4h,directional_continuation,ret_3,zero,high,0,0.0,{'lookback': 3},3-bar close return,7661,1277,-0.2491793389668362,-0.33028259918898234,-0.8976288409772177,1125,0.5166427359352564,-0.6328485041088023,0.42857142857142855,-0.8923797525989282,0,0.49017701798987307,0,0.001
native_h4|ret_3|low|zero|0,native_h4,4h,directional_continuation,ret_3,zero,low,0,0.0,{'lookback': 3},3-bar close return,7661,1277,-0.44466481220081977,-0.8747324633698411,-0.8999463024662373,1126,0.4833572640647435,-0.8720899090906211,0.35714285714285715,-0.9029167791303103,0,0.7311664339646738,0,0.001
