bucket,timeframe,family,feature,params,formula,scale,allowed_modes,admissible_tails
native_d1,1d,directional_persistence,posfrac_5,{'lookback': 5},rolling fraction of positive close-to-close returns over 5 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_persistence,posfrac_10,{'lookback': 10},rolling fraction of positive close-to-close returns over 10 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_persistence,posfrac_20,{'lookback': 20},rolling fraction of positive close-to-close returns over 20 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_persistence,posfrac_40,{'lookback': 40},rolling fraction of positive close-to-close returns over 40 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_continuation,ret_5,{'lookback': 5},5-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,trend_quality,retvol_5,{'lookback': 5},5-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_continuation,ret_10,{'lookback': 10},10-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,trend_quality,retvol_10,{'lookback': 10},10-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_continuation,ret_20,{'lookback': 20},20-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,trend_quality,retvol_20,{'lookback': 20},20-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_continuation,ret_40,{'lookback': 40},40-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,trend_quality,retvol_40,{'lookback': 40},40-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,directional_continuation,ret_80,{'lookback': 80},80-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,trend_quality,retvol_80,{'lookback': 80},80-bar compounded close return divided by rolling std*sqrt(n),signed,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,range_location,rangepct_10,{'lookback': 10},(close - rolling_low_10) / (rolling_high_10 - rolling_low_10),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,range_location,rangepct_20,{'lookback': 20},(close - rolling_low_20) / (rolling_high_20 - rolling_low_20),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,range_location,rangepct_40,{'lookback': 40},(close - rolling_low_40) / (rolling_high_40 - rolling_low_40),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,range_location,rangepct_80,{'lookback': 80},(close - rolling_low_80) / (rolling_high_80 - rolling_low_80),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,drawdown_pullback,drawdown_20,{'lookback': 20},close / rolling_high_20 - 1,negative_to_zero,['train_quantile'],"['high', 'low']"
native_d1,1d,drawdown_pullback,drawdown_40,{'lookback': 40},close / rolling_high_40 - 1,negative_to_zero,['train_quantile'],"['high', 'low']"
native_d1,1d,drawdown_pullback,drawdown_80,{'lookback': 80},close / rolling_high_80 - 1,negative_to_zero,['train_quantile'],"['high', 'low']"
native_d1,1d,volatility_level,atrpct_10,{'lookback': 10},rolling ATR_10 / close,positive,['train_quantile'],"['high', 'low']"
native_d1,1d,volatility_level,atrpct_20,{'lookback': 20},rolling ATR_20 / close,positive,['train_quantile'],"['high', 'low']"
native_d1,1d,volatility_level,atrpct_40,{'lookback': 40},rolling ATR_40 / close,positive,['train_quantile'],"['high', 'low']"
native_d1,1d,volatility_clustering,volcluster_5_20,"{'short': 5, 'long': 20}",rolling std_5 / rolling std_20 of log returns,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_d1,1d,volatility_clustering,volcluster_10_40,"{'short': 10, 'long': 40}",rolling std_10 / rolling std_40 of log returns,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_d1,1d,volatility_clustering,volcluster_20_80,"{'short': 20, 'long': 80}",rolling std_20 / rolling std_80 of log returns,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_d1,1d,participation_volume,volratio_5,{'lookback': 5},quote_volume / rolling_mean_quote_volume_5,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_d1,1d,participation_volume,volratio_10,{'lookback': 10},quote_volume / rolling_mean_quote_volume_10,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_d1,1d,participation_volume,volratio_20,{'lookback': 20},quote_volume / rolling_mean_quote_volume_20,positive_ratio,"['fixed_one', 'train_quantile']","['high', 'low']"
native_d1,1d,participation_flow,takeratio_1,{'lookback': 1},rolling mean_1 of taker_buy_base_vol / volume,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,participation_flow,takeratio_5,{'lookback': 5},rolling mean_5 of taker_buy_base_vol / volume,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,participation_flow,takeratio_10,{'lookback': 10},rolling mean_10 of taker_buy_base_vol / volume,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,candle_body,bodyfrac_1,{'lookback': 1},rolling mean_1 of (close-open)/(high-low),signed_bounded,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,candle_location,closeloc_1,{'lookback': 1},rolling mean_1 of (close-low)/(high-low),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,candle_body,bodyfrac_3,{'lookback': 3},rolling mean_3 of (close-open)/(high-low),signed_bounded,"['zero', 'train_quantile']","['high', 'low']"
native_d1,1d,candle_location,closeloc_3,{'lookback': 3},rolling mean_3 of (close-low)/(high-low),bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_d1,1d,calendar_effect,calendar_dow,"{'categories': [0, 1, 2, 3, 4, 5, 6]}",day of week category from bar open_time UTC,categorical,['category'],['category']
native_h4,4h,directional_persistence,posfrac_3,{'lookback': 3},rolling fraction of positive close-to-close returns over 3 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_persistence,posfrac_6,{'lookback': 6},rolling fraction of positive close-to-close returns over 6 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_persistence,posfrac_12,{'lookback': 12},rolling fraction of positive close-to-close returns over 12 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_persistence,posfrac_24,{'lookback': 24},rolling fraction of positive close-to-close returns over 24 bars,bounded01,"['absolute', 'train_quantile']","['high', 'low']"
native_h4,4h,directional_continuation,ret_3,{'lookback': 3},3-bar close return,signed,"['zero', 'train_quantile']","['high', 'low']"
