config_id,bucket,timeframe,family,feature,mode,tail,threshold_spec,threshold_value,params,formula,bars,days,cagr,sharpe_daily,max_drawdown,trade_count,exposure,total_return,positive_fold_share,worst_fold_cagr,isolated_quarter_flag,largest_positive_fold_share,stage1_pass_gate,cost_side
cross_tf|x_rel_d1close_atr|high|zero|0,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,zero,high,0,0.0,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.3114494120295107,-0.40521746082326904,-0.9424641982895081,1132,0.5789061480224513,-0.7287401077368488,0.5,-0.9555438759575515,0,0.30584426039700163,0,0.001
cross_tf|x_rel_d1close_atr|low|zero|0,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,zero,low,0,0.0,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.4946712177461122,-0.9879807896950953,-0.9248870716892177,1123,0.5877822738545881,-0.9080344796967259,0.2857142857142857,-0.9198637878432829,0,0.5811026159141859,0,0.001
cross_tf|x_rel_d1close_atr|high|q|0.55,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,train_quantile,high,q0.55,0.55,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.3114494120295107,-0.40521746082326904,-0.9424641982895081,1132,0.5789061480224513,-0.7287401077368488,0.5,-0.9555438759575515,0,0.30584426039700163,0,0.001
cross_tf|x_rel_d1close_atr|high|q|0.65,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,train_quantile,high,q0.65,0.65,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.23022617805441958,-0.38683016779663243,-0.8522259587738734,1003,0.35269547056520034,-0.5994112272525209,0.42857142857142855,-0.821720635996763,0,0.3571587034962268,0,0.001
cross_tf|x_rel_d1close_atr|high|q|0.75,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,train_quantile,high,q0.75,0.75,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.08543018759270116,-0.047262516726850994,-0.6887447708867975,768,0.2485315232998303,-0.26817874487195403,0.5,-0.6801411058327104,0,0.3745618733974394,0,0.001
cross_tf|x_rel_d1close_atr|low|q|0.45,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,train_quantile,low,q0.45,0.45,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.4946712177461122,-0.9879807896950953,-0.9248870716892177,1123,0.5877822738545881,-0.9080344796967259,0.2857142857142857,-0.9198637878432829,0,0.5811026159141859,0,0.001
cross_tf|x_rel_d1close_atr|low|q|0.35,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,train_quantile,low,q0.35,0.35,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.33631167996460876,-0.6816946479676653,-0.7798349720450535,1000,0.3443414697820128,-0.7614689963871468,0.35714285714285715,-0.9588731963196278,0,0.47993405532451816,0,0.001
cross_tf|x_rel_d1close_atr|low|q|0.25,cross_tf,4h,cross_rel_close_vs_d1_close,x_rel_d1close_atr,train_quantile,low,q0.25,0.25,{},(h4_close - last_completed_d1_close) / visible_d1_atr_abs,7661,1277,-0.20428850077004168,-0.33088880287696254,-0.5769658882759638,788,0.24461558543271114,-0.5502011611556228,0.42857142857142855,-0.8638528799774187,0,0.5017819264285053,0,0.001
cross_tf|x_rel_d1high_atr|high|zero|0,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,zero,high,0,0.0,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.07500699306640157,-0.12477258421068997,-0.5225610102297646,460,0.13849366923378148,-0.2386014483969935,0.42857142857142855,-0.6207586861393155,0,0.5608142040804441,0,0.001
cross_tf|x_rel_d1high_atr|low|zero|0,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,zero,low,0,0.0,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.0354960394054713,0.2769310254006392,-0.8047609502787315,461,0.8615063307662185,-0.11870127469998404,0.5714285714285714,-0.9585577197153184,0,0.3034588417764425,0,0.001
cross_tf|x_rel_d1high_atr|high|q|0.55,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,train_quantile,high,q0.55,0.55,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.15179041565954177,-0.12405960333455286,-0.7851870189257062,709,0.44458947918026365,-0.4376194824152603,0.42857142857142855,-0.8315380267890247,0,0.47789209467006427,0,0.001
cross_tf|x_rel_d1high_atr|high|q|0.65,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,train_quantile,high,q0.65,0.65,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.1250602942016955,-0.11670558938296265,-0.7700530133479083,703,0.34421093851977547,-0.3731814128938308,0.2857142857142857,-0.8393565156239575,0,0.492294430160047,0,0.001
cross_tf|x_rel_d1high_atr|high|q|0.75,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,train_quantile,high,q0.75,0.75,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.10963546348747422,-0.13720636862436073,-0.7273495196805551,641,0.24748727320193187,-0.3336884497698275,0.35714285714285715,-0.8116085429302229,0,0.4230639584897634,0,0.001
cross_tf|x_rel_d1high_atr|low|q|0.45,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,train_quantile,low,q0.45,0.45,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.17443188959793643,-0.10074453298133862,-0.6740673359667454,628,0.4586868555018927,-0.48837875687183363,0.42857142857142855,-0.8640506776694303,0,0.4198736207847762,0,0.001
cross_tf|x_rel_d1high_atr|low|q|0.35,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,train_quantile,low,q0.35,0.35,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.10246293468653878,0.023512755777189944,-0.46753938986699184,568,0.3622242527085237,-0.31473253920910294,0.42857142857142855,-0.8298613714227261,0,0.34264687740078126,0,0.001
cross_tf|x_rel_d1high_atr|low|q|0.25,cross_tf,4h,cross_rel_close_vs_d1_high,x_rel_d1high_atr,train_quantile,low,q0.25,0.25,{},(h4_close - last_completed_d1_high) / visible_d1_atr_abs,7661,1277,-0.17797541043521858,-0.24068650826547533,-0.6259011467321081,458,0.25427489883827176,-0.4960154171728104,0.5,-0.835958059973959,0,0.5317740540488305,0,0.001
cross_tf|x_rel_d1low_atr|high|zero|0,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,zero,high,0,0.0,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,0.24014298998007555,0.6534911517582256,-0.8312877520447066,356,0.8955749902101553,1.1222634317431845,0.6428571428571429,-0.9267157327606912,0,0.4565335633749854,1,0.001
cross_tf|x_rel_d1low_atr|low|zero|0,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,zero,low,0,0.0,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,-0.18858277895386377,-0.4772266096023695,-0.5395654188493012,355,0.10442500978984466,-0.5183889679253364,0.35714285714285715,-0.8596888085911899,0,0.693244222515902,0,0.001
cross_tf|x_rel_d1low_atr|high|q|0.55,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,train_quantile,high,q0.55,0.55,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,0.026201869948373036,0.2898707026787566,-0.8063867715810832,616,0.4495496671452813,0.0946430386884558,0.42857142857142855,-0.9489425320435224,0,0.397143615486416,0,0.001
cross_tf|x_rel_d1low_atr|high|q|0.65,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,train_quantile,high,q0.65,0.65,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,-0.021832288691648216,0.16974882182913612,-0.717548296433106,547,0.3496932515337423,-0.07427344955300119,0.5,-0.8955109713471375,0,0.4556539896610699,0,0.001
cross_tf|x_rel_d1low_atr|high|q|0.75,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,train_quantile,high,q0.75,0.75,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,-0.014812697565791733,0.14761182728915379,-0.6089268953944185,423,0.24996736718444068,-0.05083827035655286,0.42857142857142855,-0.7177624804082102,0,0.2766497147582778,0,0.001
cross_tf|x_rel_d1low_atr|low|q|0.45,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,train_quantile,low,q0.45,0.45,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,-0.31043291341120727,-0.5293573242784168,-0.7778249446741052,663,0.4516381673410782,-0.7273374320436277,0.42857142857142855,-0.8479458103107795,0,0.5655079482330759,0,0.001
cross_tf|x_rel_d1low_atr|low|q|0.35,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,train_quantile,low,q0.35,0.35,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,-0.42327025926776674,-1.0349826753920859,-0.8776699041141621,655,0.35230387677848846,-0.8540167436156978,0.21428571428571427,-0.8502313587031287,0,0.5740898847331145,0,0.001
cross_tf|x_rel_d1low_atr|low|q|0.25,cross_tf,4h,cross_rel_close_vs_d1_low,x_rel_d1low_atr,train_quantile,low,q0.25,0.25,{},(h4_close - last_completed_d1_low) / visible_d1_atr_abs,7661,1277,-0.3479329877581221,-0.8323332532448509,-0.8032513519900831,643,0.25231692990471216,-0.7757554430582889,0.21428571428571427,-0.7917411585331112,0,0.6929672130001763,0,0.001
cross_tf|x_in_d1range|high|abs|0.600,cross_tf,4h,cross_rel_loc_in_d1_range,x_in_d1range,absolute,high,0.600,0.6,{},(h4_close - visible_d1_low)/(visible_d1_high - visible_d1_low),7661,1277,-0.08481249107217503,0.034383096698350386,-0.7542685746419009,679,0.4521602923900274,-0.26644920709656295,0.35714285714285715,-0.8368328949294126,0,0.43077917221610884,0,0.001
