G,churn_mfe_mean,churn_mae_mean,churn_net_mean,churn_reclaim_rate,nonchurn_mfe_mean,nonchurn_mae_mean,nonchurn_net_mean,nonchurn_deeper_rate,n_churn,n_nonchurn
2,326.702523,240.917207,37.523243,0.504505,182.303509,337.020000,-155.202807,0.508772,111,57
4,584.640901,372.758559,279.191892,0.648649,204.397719,788.752456,-555.782982,0.684211,111,57
6,823.975856,427.757207,425.016036,0.756757,227.112281,988.198070,-578.571579,0.736842,111,57
8,984.969009,501.690721,467.209910,0.837838,248.795965,1173.272982,-678.825965,0.789474,111,57
12,1251.805405,552.966306,679.004234,0.909910,353.124912,1401.216140,-722.883860,0.877193,111,57
16,1481.883063,711.324865,639.518018,0.927928,382.886842,1628.965088,-799.764912,0.912281,111,57
20,1640.769369,859.515405,668.006036,0.936937,404.496491,1844.434386,-919.638246,0.947368,111,57
