tau,G,delta,sharpe,cagr,mdd,trades,d_sharpe,d_mdd,pct_suppressed,n_watch,n_reclaimed
0.500000,2,0.500000,1.215080,49.583486,48.506128,169,-0.156698,8.548994,81.333333,183,77
0.500000,2,1.000000,1.258224,52.293022,48.387130,166,-0.113555,8.429995,81.578947,186,83
0.500000,2,1.500000,1.278798,53.590863,48.414989,166,-0.092981,8.457854,81.578947,186,83
0.500000,2,2.000000,1.282447,53.885713,48.414989,166,-0.089332,8.457854,81.578947,186,83
0.500000,4,0.500000,1.162357,46.561701,51.222432,166,-0.209421,11.265297,81.974249,191,88
0.500000,4,1.000000,1.162862,46.954928,50.931203,156,-0.208917,10.974068,82.716049,201,108
0.500000,4,1.500000,1.196634,49.508602,46.819914,154,-0.175145,6.862779,82.661290,205,115
0.500000,4,2.000000,1.203954,50.113693,47.141511,153,-0.167825,7.184376,82.661290,205,115
0.500000,6,0.500000,1.162136,46.548880,51.222432,166,-0.209642,11.265297,81.974249,191,88
0.500000,6,1.000000,1.226662,50.919541,52.606135,151,-0.145117,12.649000,81.609195,213,132
0.500000,6,1.500000,1.323141,57.624945,40.924461,145,-0.048638,0.967326,82.575758,218,141
0.500000,6,2.000000,1.306875,56.570837,39.064541,143,-0.064903,-0.892594,82.706767,220,144
0.500000,8,0.500000,1.162136,46.548880,51.222432,166,-0.209642,11.265297,81.974249,191,88
0.500000,8,1.000000,1.216563,50.336397,52.606135,149,-0.155216,12.649000,81.886792,217,138
0.500000,8,1.500000,1.376825,60.949624,39.875840,138,0.005047,-0.081295,84.057971,232,160
0.500000,8,2.000000,1.360767,60.024634,39.177958,134,-0.011012,-0.779177,84.229391,235,165
0.550000,2,0.500000,1.218533,49.700398,48.506128,170,-0.153246,8.548994,77.828054,172,72
0.550000,2,1.000000,1.270912,52.992772,48.387130,167,-0.100867,8.429995,78.125000,175,78
0.550000,2,1.500000,1.291268,54.282404,46.456385,167,-0.080510,6.499250,78.125000,175,78
0.550000,2,2.000000,1.294903,54.578582,46.456385,167,-0.076875,6.499250,78.125000,175,78
0.550000,4,0.500000,1.165497,46.664084,51.222432,167,-0.206281,11.265297,78.602620,180,83
0.550000,4,1.000000,1.167536,47.134634,50.931203,158,-0.204243,10.974068,78.481013,186,100
0.550000,4,1.500000,1.202148,49.742181,46.444417,156,-0.169631,6.487282,78.512397,190,107
0.550000,4,2.000000,1.208261,50.275290,46.677126,155,-0.163517,6.719991,78.512397,190,107
0.550000,6,0.500000,1.165497,46.664084,51.222432,167,-0.206281,11.265297,78.602620,180,83
0.550000,6,1.000000,1.198589,49.097556,52.606135,154,-0.173189,12.649000,76.706827,191,117
0.550000,6,1.500000,1.314989,56.898440,42.059725,148,-0.056789,2.102590,77.777778,196,126
0.550000,6,2.000000,1.294706,55.600333,40.951677,146,-0.077073,0.994542,77.952756,198,129
0.550000,8,0.500000,1.165497,46.664084,51.222432,167,-0.206281,11.265297,78.602620,180,83
0.550000,8,1.000000,1.174690,47.688940,52.606135,153,-0.197089,12.649000,77.075099,195,122
0.550000,8,1.500000,1.345428,58.671617,41.355263,143,-0.026350,1.398129,79.166667,209,143
0.550000,8,2.000000,1.334146,58.069441,39.388828,138,-0.037633,-0.568307,79.699248,212,148
0.600000,2,0.500000,1.280148,53.081740,48.506128,171,-0.091631,8.548994,72.169811,153,62
0.600000,2,1.000000,1.316018,55.343645,48.387130,169,-0.055760,8.429995,72.558140,156,67
0.600000,2,1.500000,1.336474,56.653094,46.372713,169,-0.035305,6.415578,72.558140,156,67
0.600000,2,2.000000,1.340062,56.953823,46.372713,169,-0.031716,6.415578,72.558140,156,67
0.600000,4,0.500000,1.230481,50.197893,51.222432,168,-0.141297,11.265297,73.181818,161,73
0.600000,4,1.000000,1.220431,49.902704,50.931203,161,-0.151348,10.974068,74.008811,168,87
