fold,param,e0_sharpe_test,filter_sharpe_test,d_sharpe,win
1,"tau=0.8,G=8,delta=2.0,C=10.0",-0.889635,-0.822333,0.067302,True
2,"tau=0.8,G=8,delta=2.0,C=10.0",1.193455,1.538523,0.345068,True
3,"tau=0.85,G=8,delta=2.0,C=10.0",1.719573,1.616956,-0.102617,False
4,"tau=0.9,G=8,delta=2.0,C=10.0",0.047022,0.047022,0.000000,True
