path,d_sharpe,d_cagr,d_mdd
151,0.041773,2.738948,-0.597843
152,-0.039510,-1.707265,-0.089201
153,0.068868,2.656495,3.103040
154,0.036126,0.834003,-1.141785
155,-0.110836,-4.212787,3.623900
156,0.078537,4.643229,2.249137
157,0.008609,0.312131,0.032878
158,-0.067123,-2.288734,7.912930
159,-0.001444,0.033860,-5.071844
160,-0.062712,-2.039647,1.659250
161,-0.003285,0.250619,1.934383
162,-0.044099,-1.600410,6.478611
163,0.000000,0.000000,0.000000
164,0.003144,0.106097,-0.278570
165,0.034581,1.101998,3.368942
166,0.069356,3.195539,2.907904
167,0.016310,0.424417,2.920108
168,-0.023429,0.580328,-0.921496
169,0.062190,1.634456,1.089397
170,-0.051825,-1.717764,-1.861347
171,0.156548,4.886704,-8.716238
172,0.073177,3.253367,1.076866
173,-0.161261,-5.227926,5.170423
174,-0.071662,-2.389070,1.155390
175,-0.051033,-1.877920,0.073821
176,-0.017873,-0.745408,0.006704
177,0.044644,2.211853,0.332773
178,0.140633,3.827667,-6.226741
179,-0.104411,-6.216315,3.523234
180,0.023086,0.939957,1.252171
181,0.064814,3.578416,-0.972555
182,0.076336,2.528475,-3.745782
183,0.038530,0.521427,3.313890
184,-0.091381,-3.915793,1.061822
185,-0.038635,-0.946959,1.374299
186,0.012844,0.988467,-0.063040
187,0.008472,0.276625,-0.955845
188,-0.006905,-0.316464,-0.390827
189,0.104414,5.413974,-3.829172
190,0.207903,8.442830,0.355866
191,0.020031,1.455151,4.249296
192,-0.063412,-2.154882,3.214018
193,-0.029293,-1.173872,-0.139585
194,-0.060299,-2.629290,0.420710
195,-0.128398,-3.825751,2.487130
196,-0.004317,-0.246843,1.112277
197,0.008754,1.002701,4.047011
198,0.120781,5.632020,-6.080974
199,0.020111,0.677697,-3.522277
200,0.062422,2.211005,-2.026007
201,0.113326,5.404267,2.302078
202,0.192797,6.966026,2.626006
203,0.087056,3.795171,-1.061183
204,-0.023063,-0.805685,4.019488
205,-0.054990,-1.945870,-3.222748
206,-0.051361,-2.056566,2.202254
207,0.166273,5.424300,-1.660169
208,0.340651,24.134448,-1.231012
209,0.097814,3.798851,-1.932720
210,-0.108169,-3.451929,6.555587
211,-0.103861,-5.833367,7.178509
212,0.058761,2.074123,0.058010
213,-0.003815,-0.143159,-0.863231
214,0.098542,2.169957,-3.369787
215,0.168043,7.174575,-2.606044
216,0.005263,0.206257,1.558221
217,0.037977,1.193264,1.657205
218,0.058735,2.366965,-4.765045
219,0.112857,6.006127,0.870768
220,0.063678,2.530109,-8.853511
221,0.018017,1.371249,0.868310
222,0.015639,0.575667,-1.693446
223,0.017665,0.621783,2.624647
224,0.072251,3.437939,-0.109877
225,-0.050902,-1.866676,6.133630
226,0.094128,4.461952,-4.604827
227,0.089957,6.167621,-2.217127
228,0.032570,1.249257,-0.729837
229,-0.126515,-5.612721,3.083663
230,0.047357,1.439276,1.306900
231,0.024772,1.490286,1.995987
232,0.081872,3.552789,0.736614
233,0.144319,4.454454,-0.861099
234,-0.109592,-3.811345,1.310677
235,-0.185507,-8.503342,7.849187
236,-0.117047,-4.427065,3.914627
237,0.123442,4.326010,-8.652921
238,0.016417,0.525461,0.203714
239,0.006645,0.905917,-2.891780
240,0.037901,1.223192,-1.278998
241,0.046243,2.105270,-3.008487
242,0.025392,0.733852,-1.882147
243,0.048580,1.638892,-4.191147
244,0.031591,1.227327,-0.873130
245,0.072645,2.107385,0.369045
246,-0.094382,-3.337298,2.830135
247,-0.084960,-2.423633,3.939666
248,0.037223,2.501981,2.337345
249,0.036572,2.328355,1.393955
250,-0.008450,-0.194452,-0.129505
251,0.065616,3.052571,0.126244
252,0.114838,3.119933,-1.744885
253,0.016033,1.411714,-2.791657
254,-0.064479,-2.207226,-1.689204
255,0.134371,8.713109,-0.573226
256,-0.080577,-2.902304,-2.195343
257,0.064298,3.289449,-1.845608
258,0.037034,1.417258,-2.054988
259,0.039554,1.198720,-1.855956
260,0.012463,0.455136,1.852336
261,0.032774,0.943968,0.769463
262,0.299901,9.571678,-15.294573
263,0.051371,1.537281,4.374970
264,0.128279,4.178894,-0.169611
265,0.118847,4.852817,-6.556775
266,-0.101386,-4.246926,4.633505
267,0.155596,6.693937,-2.318540
268,0.246638,8.869341,-10.270787
269,0.000149,-0.043970,-2.946707
