strategy,sharpe,cagr,mdd,trades,avg_hold,oracle_capture
E0,1.371778,57.716228,39.957135,189,40.777778,0.000000
X16_F,1.415835,63.520267,40.397011,118,70.118644,5.213838
X14_D,1.428000,64.000000,36.700000,133,60.300000,10.900000
