ts,invariant_name,details,strategy_id
1557619199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.504781; max_total_exposure=0.500000,candidate
1557633599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.507708; max_total_exposure=0.500000,candidate
1557647999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.518661; max_total_exposure=0.500000,candidate
1557662399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.508045; max_total_exposure=0.500000,candidate
1557691199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.503237; max_total_exposure=0.500000,candidate
1557705599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.500903; max_total_exposure=0.500000,candidate
1557719999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.502934; max_total_exposure=0.500000,candidate
1557734399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.502929; max_total_exposure=0.500000,candidate
1557748799999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.509980; max_total_exposure=0.500000,candidate
1557763199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.528195; max_total_exposure=0.500000,candidate
1557777599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.530507; max_total_exposure=0.500000,candidate
1557791999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.528797; max_total_exposure=0.500000,candidate
1557806399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.533164; max_total_exposure=0.500000,candidate
1557820799999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.545188; max_total_exposure=0.500000,candidate
1557835199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.537255; max_total_exposure=0.500000,candidate
1557849599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.533837; max_total_exposure=0.500000,candidate
1557863999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.527194; max_total_exposure=0.500000,candidate
1557878399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.533761; max_total_exposure=0.500000,candidate
1557889199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.533734; max_total_exposure=0.500000,candidate
1557907199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.533734; max_total_exposure=0.500000,candidate
1557921599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.533734; max_total_exposure=0.500000,candidate
1557935999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.535147; max_total_exposure=0.500000,candidate
1557950399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.540532; max_total_exposure=0.500000,candidate
1557964799999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.540620; max_total_exposure=0.500000,candidate
1557979199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.542560; max_total_exposure=0.500000,candidate
1557993599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.535999; max_total_exposure=0.500000,candidate
1558007999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.531320; max_total_exposure=0.500000,candidate
1558022399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.535604; max_total_exposure=0.500000,candidate
1558036799999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.530961; max_total_exposure=0.500000,candidate
1558051199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.531212; max_total_exposure=0.500000,candidate
1558065599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.514064; max_total_exposure=0.500000,candidate
1558915199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.500033; max_total_exposure=0.500000,candidate
1558929599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.501484; max_total_exposure=0.500000,candidate
1558943999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.502390; max_total_exposure=0.500000,candidate
1558958399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.502130; max_total_exposure=0.500000,candidate
1558972799999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.505333; max_total_exposure=0.500000,candidate
1558987199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.504296; max_total_exposure=0.500000,candidate
1559001599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.504118; max_total_exposure=0.500000,candidate
1559015999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.504317; max_total_exposure=0.500000,candidate
1559030399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.503123; max_total_exposure=0.500000,candidate
1559044799999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.503490; max_total_exposure=0.500000,candidate
1559059199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.502049; max_total_exposure=0.500000,candidate
1559073599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.502207; max_total_exposure=0.500000,candidate
1559087999999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.502954; max_total_exposure=0.500000,candidate
1559102399999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.500948; max_total_exposure=0.500000,candidate
1559131199999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.500224; max_total_exposure=0.500000,candidate
1559145599999,exposure_within_max_total,scenario=harsh; phase=close; exposure=0.501964; max_total_exposure=0.500000,candidate
