candidate_trade_id,baseline_trade_id,side,candidate_entry_ts,baseline_entry_ts,candidate_exit_ts,baseline_exit_ts,entry_ts_delta_ms,entry_ts_delta_bars,candidate_return_pct,baseline_return_pct,delta_return_pct,candidate_pnl_usd,baseline_pnl_usd,delta_pnl,candidate_fees_usd,baseline_fees_usd,delta_fees_usd,candidate_entry_reason,baseline_entry_reason,candidate_exit_reason,baseline_exit_reason,candidate_max_exposure_during_trade,baseline_max_exposure_during_trade,candidate_exposure_at_entry,baseline_exposure_at_entry,candidate_exposure_at_exit,baseline_exposure_at_exit,candidate_win,baseline_win
1,1,long,2019-04-10T20:00:00Z,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,2019-04-28T04:00:00Z,0,0.0,2.251657,2.079854,0.171803,42.81605,82.828736,-40.012686,6.190513,13.030874,-6.840361,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.215955,0.447329,0.041983,0.084012,0.0,0.0,1,1
2,2,long,2019-04-29T00:00:00Z,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,2019-05-17T04:00:00Z,0,0.0,36.723284,32.955161,3.768123,1597.372952,2986.132394,-1388.759442,15.532065,31.855571,-16.323506,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.545188,0.935599,0.039681,0.079364,0.0,0.0,1,1
3,3,long,2019-05-19T04:00:00Z,2019-05-19T04:00:00Z,2019-06-04T00:00:00Z,2019-05-23T00:00:00Z,0,0.0,2.172523,-3.837558,6.010081,112.533122,-468.835039,581.368161,16.900539,34.645561,-17.745022,vdo_trend_accel,vdo_trend_accel,trailing_stop,emergency_dd,0.509342,0.904021,0.195176,0.350399,0.0,0.0,1,0
4,5,long,2019-06-06T04:00:00Z,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,2019-06-27T16:00:00Z,0,0.0,50.036427,49.862815,0.173612,2720.693134,5899.956284,-3179.26315,20.485454,44.547899,-24.062445,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.607121,0.978518,0.212618,0.347683,0.0,0.0,1,1
5,6,long,2019-07-03T04:00:00Z,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,2019-07-12T04:00:00Z,0,0.0,-2.428908,-2.300793,-0.128115,-171.564973,-337.134997,165.570024,19.743374,40.851246,-21.107872,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.492394,0.778169,0.0641,0.098803,0.0,0.0,0,0
6,7,long,2019-07-18T08:00:00Z,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,2019-07-23T16:00:00Z,0,0.0,-5.896863,-5.915018,0.018155,-384.81176,-671.37464,286.56288,18.555717,32.273928,-13.718211,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.448739,0.621807,0.058437,0.080129,0.0,0.0,0,0
7,8,long,2019-07-25T04:00:00Z,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,2019-08-11T00:00:00Z,0,0.0,14.894702,14.346491,0.548211,1031.454557,2297.754839,-1266.300282,22.583416,52.118169,-29.534753,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.558797,0.953824,0.146143,0.228511,0.0,0.0,1,1
8,9,long,2019-08-16T16:00:00Z,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,2019-08-21T16:00:00Z,0,0.0,-3.593077,-3.448121,-0.144956,-270.010537,-664.575565,394.565028,21.282653,54.53331,-33.250657,vdo_trend_accel,vdo_trend_accel,trailing_stop,emergency_dd,0.498767,0.953584,0.239821,0.351679,0.0,0.0,0,0
9,10,long,2019-08-23T16:00:00Z,2019-08-23T16:00:00Z,2019-09-09T04:00:00Z,2019-08-28T20:00:00Z,0,0.0,0.622586,-5.804519,6.427105,32.715564,-945.887627,978.603191,20.873889,46.340287,-25.466398,vdo_trend_accel,vdo_trend_accel,trailing_stop,emergency_dd,0.489682,0.840279,0.214475,0.35044,0.0,0.0,1,0
10,12,long,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,2019-09-24T20:00:00Z,2019-09-19T04:00:00Z,0,0.0,-18.128607,-4.216064,-13.912543,-1310.232702,-810.574311,-499.658391,19.584278,54.600991,-35.016713,vdo_trend_accel,vdo_trend_accel,emergency_dd,emergency_dd,0.494829,0.982557,0.30119,0.349304,0.0,0.0,0,0
