ts,bar_index,event_type,reason,price,nav,exposure_before,exposure_after,notional_before,notional_after,regime_label,regime_d1_analytical,fill_qty,fill_fee,trade_id_ref
2019-01-01T03:59:59Z,2190,entry_blocked,regime_off,3693.13,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-01T07:59:59Z,2191,entry_blocked,regime_off,3713.83,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-01T11:59:59Z,2192,entry_blocked,regime_off,3707.54,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-01T15:59:59Z,2193,entry_blocked,regime_off,3682.61,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-01T19:59:59Z,2194,entry_blocked,regime_off,3696.73,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-01T23:59:59Z,2195,entry_blocked,regime_off,3797.14,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-02T03:59:59Z,2196,entry_blocked,regime_off,3779.98,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-02T07:59:59Z,2197,entry_blocked,regime_off,3771.08,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-02T11:59:59Z,2198,entry_blocked,regime_off,3787.97,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-02T15:59:59Z,2199,entry_blocked,regime_off,3801.28,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-02T19:59:59Z,2200,entry_blocked,regime_off,3824.98,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-02T23:59:59Z,2201,entry_blocked,regime_off,3858.56,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-03T03:59:59Z,2202,entry_blocked,regime_off,3841.83,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-03T07:59:59Z,2203,entry_blocked,regime_off,3828.88,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-03T11:59:59Z,2204,entry_blocked,regime_off,3804.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-03T15:59:59Z,2205,entry_blocked,regime_off,3806.7,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-03T19:59:59Z,2206,entry_blocked,regime_off,3756.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-03T23:59:59Z,2207,entry_blocked,regime_off,3766.78,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-04T03:59:59Z,2208,entry_blocked,regime_off,3780.04,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-04T07:59:59Z,2209,entry_blocked,regime_off,3783.28,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-04T11:59:59Z,2210,entry_blocked,regime_off,3757.55,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-04T15:59:59Z,2211,entry_blocked,regime_off,3725.28,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-04T19:59:59Z,2212,entry_blocked,regime_off,3739.53,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-04T23:59:59Z,2213,entry_blocked,regime_off,3792.01,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-05T03:59:59Z,2214,entry_blocked,regime_off,3815.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-05T07:59:59Z,2215,entry_blocked,regime_off,3785.15,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-05T11:59:59Z,2216,entry_blocked,regime_off,3801.26,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-05T15:59:59Z,2217,entry_blocked,regime_off,3785.58,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-05T19:59:59Z,2218,entry_blocked,regime_off,3810.98,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-05T23:59:59Z,2219,entry_blocked,regime_off,3770.96,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-06T03:59:59Z,2220,entry_blocked,regime_off,3771.15,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-06T07:59:59Z,2221,entry_blocked,regime_off,3767.94,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-06T11:59:59Z,2222,entry_blocked,regime_off,3814.24,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-06T15:59:59Z,2223,entry_blocked,regime_off,3806.82,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-06T19:59:59Z,2224,entry_blocked,regime_off,4002.46,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-06T23:59:59Z,2225,entry_blocked,regime_off,3987.6,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-07T03:59:59Z,2226,entry_blocked,regime_off,3992.26,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-07T07:59:59Z,2227,entry_blocked,regime_off,4001.0,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-07T11:59:59Z,2228,entry_blocked,regime_off,3976.76,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-07T15:59:59Z,2229,entry_blocked,regime_off,3969.91,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-07T19:59:59Z,2230,entry_blocked,regime_off,3988.52,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-07T23:59:59Z,2231,entry_blocked,regime_off,3975.45,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-08T03:59:59Z,2232,entry_blocked,regime_off,3945.61,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-08T07:59:59Z,2233,entry_blocked,regime_off,3953.6,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
2019-01-08T11:59:59Z,2234,entry_blocked,regime_off,4001.59,10000.0,0.0,0.0,0.0,0.0,RISK_OFF,BEAR,,,
